Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	58.182101025	58.437693476	0.0	22050.0	0.256	22050.0		
1	Spectrogram 1	1	58.182101025	58.437693476	0.0	22050.0	0.256	22050.0	-44.1	
2	Waveform 1	1	58.599974398	58.989448610	0.0	22050.0	0.389	22050.0		
2	Spectrogram 1	1	58.599974398	58.989448610	0.0	22050.0	0.389	22050.0	-44.6	
3	Waveform 1	1	63.299156489	63.566920009	0.0	22050.0	0.268	22050.0		
3	Spectrogram 1	1	63.299156489	63.566920009	0.0	22050.0	0.268	22050.0	-43.2	
4	Waveform 1	1	76.758270109	77.005748515	0.0	22050.0	0.247	22050.0		
4	Spectrogram 1	1	76.758270109	77.005748515	0.0	22050.0	0.247	22050.0	-52.0	
5	Waveform 1	1	76.973292330	77.232941805	0.0	22050.0	0.260	22050.0		
5	Spectrogram 1	1	76.973292330	77.232941805	0.0	22050.0	0.260	22050.0	-53.0	
6	Waveform 1	1	77.232941805	77.488534256	0.0	22050.0	0.256	22050.0		
6	Spectrogram 1	1	77.232941805	77.488534256	0.0	22050.0	0.256	22050.0	-52.8	
7	Waveform 1	1	77.488534256	77.748183731	0.0	22050.0	0.260	22050.0		
7	Spectrogram 1	1	77.488534256	77.748183731	0.0	22050.0	0.260	22050.0	-51.6	
8	Waveform 1	1	80.340556379	80.563692646	0.0	22050.0	0.223	22050.0		
8	Spectrogram 1	1	80.340556379	80.563692646	0.0	22050.0	0.223	22050.0	-47.0	
9	Waveform 1	1	80.604262877	80.867969374	0.0	22050.0	0.264	22050.0		
9	Spectrogram 1	1	80.604262877	80.867969374	0.0	22050.0	0.264	22050.0	-45.2	
10	Waveform 1	1	80.920710674	81.192531217	0.0	22050.0	0.272	22050.0		
10	Spectrogram 1	1	80.920710674	81.192531217	0.0	22050.0	0.272	22050.0	-43.4	
11	Waveform 1	1	85.570588305	85.947891447	0.0	22050.0	0.377	22050.0		
11	Spectrogram 1	1	85.570588305	85.947891447	0.0	22050.0	0.377	22050.0	-44.7	
12	Waveform 1	1	86.033088931	86.345479705	0.0	22050.0	0.312	22050.0		
12	Spectrogram 1	1	86.033088931	86.345479705	0.0	22050.0	0.312	22050.0	-44.8	
15	Waveform 1	1	86.434734212	86.816094377	0.0	22050.0	0.381	22050.0		
15	Spectrogram 1	1	86.434734212	86.816094377	0.0	22050.0	0.381	22050.0	-46.7	
18	Waveform 1	1	86.893177815	87.144713243	0.0	22050.0	0.252	22050.0		
18	Spectrogram 1	1	86.893177815	87.144713243	0.0	22050.0	0.252	22050.0	-46.3	
19	Waveform 1	1	87.201511566	87.461161040	0.0	22050.0	0.260	22050.0		
19	Spectrogram 1	1	87.201511566	87.461161040	0.0	22050.0	0.260	22050.0	-45.7	
20	Waveform 1	1	87.473332110	87.700525400	0.0	22050.0	0.227	22050.0		
20	Spectrogram 1	1	87.473332110	87.700525400	0.0	22050.0	0.227	22050.0	-44.3	
21	Waveform 1	1	87.720810515	87.980459989	0.0	22050.0	0.260	22050.0		
21	Spectrogram 1	1	87.720810515	87.980459989	0.0	22050.0	0.260	22050.0	-48.3	
22	Waveform 1	1	92.869043029	93.319372586	0.0	22050.0	0.450	22050.0		
22	Spectrogram 1	1	92.869043029	93.319372586	0.0	22050.0	0.450	22050.0	-47.2	
23	Waveform 1	1	95.266743644	95.481765865	0.0	22050.0	0.215	22050.0		
23	Spectrogram 1	1	95.266743644	95.481765865	0.0	22050.0	0.215	22050.0	-48.8	
24	Waveform 1	1	164.360540685	164.713501689	0.0	22050.0	0.353	22050.0		
24	Spectrogram 1	1	164.360540685	164.713501689	0.0	22050.0	0.353	22050.0	-45.7	
25	Waveform 1	1	172.580830977	172.868879613	0.0	22050.0	0.288	22050.0		
25	Spectrogram 1	1	172.580830977	172.868879613	0.0	22050.0	0.288	22050.0	-37.8	
