Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	1.547242605	1.748732398	0.000	22050.000	SAT.01_U.nest_01
1	Spectrogram 1	1	1.547242605	1.748732398	0.000	22050.000	SAT.01_U.nest_01
2	Waveform 1	1	1.820870719	2.012410398	0.000	22050.000	SAT.01_U.nest_01
2	Spectrogram 1	1	1.820870719	2.012410398	0.000	22050.000	SAT.01_U.nest_01
3	Waveform 1	1	2.114399059	2.333301550	0.000	22050.000	SAT.01_U.nest_01
3	Spectrogram 1	1	2.114399059	2.333301550	0.000	22050.000	SAT.01_U.nest_01
4	Waveform 1	1	2.375589531	2.567129210	0.000	22050.000	SAT.01_U.nest_01
4	Spectrogram 1	1	2.375589531	2.567129210	0.000	22050.000	SAT.01_U.nest_01
5	Waveform 1	1	2.599467078	2.855682494	0.000	22050.000	SAT.01_U.nest_01
5	Spectrogram 1	1	2.599467078	2.855682494	0.000	22050.000	SAT.01_U.nest_01
6	Waveform 1	1	2.907920588	3.198961400	0.000	22050.000	SAT.01_U.nest_01
6	Spectrogram 1	1	2.907920588	3.198961400	0.000	22050.000	SAT.01_U.nest_01
7	Waveform 1	1	6.450160894	7.166569046	0.000	22050.000	SAT.01_U.nest_01
7	Spectrogram 1	1	6.450160894	7.166569046	0.000	22050.000	SAT.01_U.nest_01
8	Waveform 1	1	10.285929539	10.778460144	0.000	22050.000	SAT.01_U.nest_01
8	Spectrogram 1	1	10.285929539	10.778460144	0.000	22050.000	SAT.01_U.nest_01
9	Waveform 1	1	15.514714036	16.106745772	0.000	22050.000	SAT.01_U.nest_01
9	Spectrogram 1	1	15.514714036	16.106745772	0.000	22050.000	SAT.01_U.nest_01
10	Waveform 1	1	42.290468706	42.852650103	0.000	22050.000	SAT.01_U.nest_01
10	Spectrogram 1	1	42.290468706	42.852650103	0.000	22050.000	SAT.01_U.nest_01
11	Waveform 1	1	46.971996975	47.379951617	0.000	22050.000	SAT.01_U.nest_01
11	Spectrogram 1	1	46.971996975	47.379951617	0.000	22050.000	SAT.01_U.nest_01
12	Waveform 1	1	54.061452643	54.563933361	0.000	22050.000	SAT.01_U.nest_01
12	Spectrogram 1	1	54.061452643	54.563933361	0.000	22050.000	SAT.01_U.nest_01
13	Waveform 1	1	64.618522768	65.135928655	0.000	22050.000	SAT.01_U.nest_01
13	Spectrogram 1	1	64.618522768	65.135928655	0.000	22050.000	SAT.01_U.nest_01
14	Waveform 1	1	68.961747188	69.553778924	0.000	22050.000	SAT.01_U.nest_01
14	Spectrogram 1	1	68.961747188	69.553778924	0.000	22050.000	SAT.01_U.nest_01
15	Waveform 1	1	74.364658665	74.872114440	0.000	22050.000	SAT.01_U.nest_01
15	Spectrogram 1	1	74.364658665	74.872114440	0.000	22050.000	SAT.01_U.nest_01
16	Waveform 1	1	80.215325238	80.911833163	0.000	22050.000	SAT.01_U.nest_01
16	Spectrogram 1	1	80.215325238	80.911833163	0.000	22050.000	SAT.01_U.nest_01
17	Waveform 1	1	83.648114298	84.180445355	0.000	22050.000	SAT.01_U.nest_01
17	Spectrogram 1	1	83.648114298	84.180445355	0.000	22050.000	SAT.01_U.nest_01
18	Waveform 1	1	86.598322867	87.240105170	0.000	22050.000	SAT.01_U.nest_01
18	Spectrogram 1	1	86.598322867	87.240105170	0.000	22050.000	SAT.01_U.nest_01
19	Waveform 1	1	91.155474721	91.747506458	0.000	22050.000	SAT.01_U.nest_01
19	Spectrogram 1	1	91.155474721	91.747506458	0.000	22050.000	SAT.01_U.nest_01
20	Waveform 1	1	94.448962197	95.050944046	0.000	22050.000	SAT.01_U.nest_01
20	Spectrogram 1	1	94.448962197	95.050944046	0.000	22050.000	SAT.01_U.nest_01
21	Waveform 1	1	98.364331748	98.896662805	0.000	22050.000	SAT.01_U.nest_01
21	Spectrogram 1	1	98.364331748	98.896662805	0.000	22050.000	SAT.01_U.nest_01
22	Waveform 1	1	104.428925755	104.936381529	0.000	22050.000	SAT.01_U.nest_01
22	Spectrogram 1	1	104.428925755	104.936381529	0.000	22050.000	SAT.01_U.nest_01
23	Waveform 1	1	108.548272627	109.135329307	0.000	22050.000	SAT.01_U.nest_01
23	Spectrogram 1	1	108.548272627	109.135329307	0.000	22050.000	SAT.01_U.nest_01
24	Waveform 1	1	114.403914256	115.145197691	0.000	22050.000	SAT.01_U.nest_01
24	Spectrogram 1	1	114.403914256	115.145197691	0.000	22050.000	SAT.01_U.nest_01
25	Waveform 1	1	120.677460640	121.204816641	0.000	22050.000	SAT.01_U.nest_01
25	Spectrogram 1	1	120.677460640	121.204816641	0.000	22050.000	SAT.01_U.nest_01
26	Waveform 1	1	128.518149856	129.269383404	0.000	22050.000	SAT.01_U.nest_01
26	Spectrogram 1	1	128.518149856	129.269383404	0.000	22050.000	SAT.01_U.nest_01
