Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	4.410090167	4.700447134	0.000	22050.000	SAT.01_perched_01
1	Spectrogram 1	1	4.410090167	4.700447134	0.000	22050.000	SAT.01_perched_01
2	Waveform 1	1	14.204231612	14.610031711	0.000	22050.000	SAT.01_perched_02
2	Spectrogram 1	1	14.204231612	14.610031711	0.000	22050.000	SAT.01_perched_02
3	Waveform 1	1	24.020396086	24.394711695	0.000	22050.000	SAT.01_perched_03
3	Spectrogram 1	1	24.020396086	24.394711695	0.000	22050.000	SAT.01_perched_03
4	Waveform 1	1	32.916513783	33.332808712	0.000	22050.000	SAT.01_perched_04
4	Spectrogram 1	1	32.916513783	33.332808712	0.000	22050.000	SAT.01_perched_04
5	Waveform 1	1	36.740130237	37.184411380	0.000	22050.000	SAT.01_perched_05
5	Spectrogram 1	1	36.740130237	37.184411380	0.000	22050.000	SAT.01_perched_05
6	Waveform 1	1	55.669305564	56.208040179	0.000	22050.000	SAT.01_perched_06
6	Spectrogram 1	1	55.669305564	56.208040179	0.000	22050.000	SAT.01_perched_06
7	Waveform 1	1	57.082609359	57.628340527	0.000	22050.000	SAT.01_perched_07
7	Spectrogram 1	1	57.082609359	57.628340527	0.000	22050.000	SAT.01_perched_07
8	Waveform 1	1	62.256560627	62.704340047	0.000	22050.000	SAT.01_perched_08
8	Spectrogram 1	1	62.256560627	62.704340047	0.000	22050.000	SAT.01_perched_08
9	Waveform 1	1	70.218638439	70.757373054	0.000	22050.000	SAT.01_perched_09
9	Spectrogram 1	1	70.218638439	70.757373054	0.000	22050.000	SAT.01_perched_09
10	Waveform 1	1	76.099241604	76.564512408	0.000	22050.000	SAT.01_perched_10
10	Spectrogram 1	1	76.099241604	76.564512408	0.000	22050.000	SAT.01_perched_10
11	Waveform 1	1	79.223202715	79.754940776	0.000	22050.000	SAT.01_perched_11
11	Spectrogram 1	1	79.223202715	79.754940776	0.000	22050.000	SAT.01_perched_11
12	Waveform 1	1	84.677016120	85.086314496	0.000	22050.000	SAT.01_perched_12
12	Spectrogram 1	1	84.677016120	85.086314496	0.000	22050.000	SAT.01_perched_12
13	Waveform 1	1	88.553106725	89.049862019	0.000	22050.000	SAT.01_perched_13
13	Spectrogram 1	1	88.553106725	89.049862019	0.000	22050.000	SAT.01_perched_13
14	Waveform 1	1	93.566137263	94.027909790	0.000	22050.000	SAT.01_perched_14
14	Spectrogram 1	1	93.566137263	94.027909790	0.000	22050.000	SAT.01_perched_14
15	Waveform 1	1	101.685637528	102.119423842	0.000	22050.000	SAT.01_perched_15
15	Spectrogram 1	1	101.685637528	102.119423842	0.000	22050.000	SAT.01_perched_15
16	Waveform 1	1	105.656181605	106.072476534	0.000	22050.000	SAT.01_perched_16
16	Spectrogram 1	1	105.656181605	106.072476534	0.000	22050.000	SAT.01_perched_16
17	Waveform 1	1	110.700696634	111.137981224	0.000	22050.000	SAT.01_perched_17
17	Spectrogram 1	1	110.700696634	111.137981224	0.000	22050.000	SAT.01_perched_17
18	Waveform 1	1	116.035568630	116.434372176	0.000	22050.000	SAT.01_perched_18
18	Spectrogram 1	1	116.035568630	116.434372176	0.000	22050.000	SAT.01_perched_18
19	Waveform 1	1	120.261486907	120.775733585	0.000	22050.000	SAT.01_perched_19
19	Spectrogram 1	1	120.261486907	120.775733585	0.000	22050.000	SAT.01_perched_19
20	Waveform 1	1	125.872722765	126.278522864	0.000	22050.000	SAT.01_perched_20
20	Spectrogram 1	1	125.872722765	126.278522864	0.000	22050.000	SAT.01_perched_20
21	Waveform 1	1	131.452474132	131.893256998	0.000	22050.000	SAT.01_perched_21
21	Spectrogram 1	1	131.452474132	131.893256998	0.000	22050.000	SAT.01_perched_21
22	Waveform 1	1	137.452018705	137.903296402	0.000	22050.000	SAT.01_perched_22
22	Spectrogram 1	1	137.452018705	137.903296402	0.000	22050.000	SAT.01_perched_22
23	Waveform 1	1	143.364106361	143.794394397	0.000	22050.000	SAT.01_perched_23
23	Spectrogram 1	1	143.364106361	143.794394397	0.000	22050.000	SAT.01_perched_23
24	Waveform 1	1	149.479094066	149.874399335	0.000	22050.000	SAT.01_perched_24
24	Spectrogram 1	1	149.479094066	149.874399335	0.000	22050.000	SAT.01_perched_24
25	Waveform 1	1	162.545157612	162.964950818	0.000	22050.000	SAT.01_perched_25
25	Spectrogram 1	1	162.545157612	162.964950818	0.000	22050.000	SAT.01_perched_25
26	Waveform 1	1	170.944520015	171.350320114	0.000	22050.000	SAT.01_perched_26
26	Spectrogram 1	1	170.944520015	171.350320114	0.000	22050.000	SAT.01_perched_26
27	Waveform 1	1	183.506831713	183.961607687	0.000	22050.000	SAT.01_perched_27
27	Spectrogram 1	1	183.506831713	183.961607687	0.000	22050.000	SAT.01_perched_27
28	Waveform 1	1	190.788491491	191.190793313	0.000	22050.000	SAT.01_perched_28
28	Spectrogram 1	1	190.788491491	191.190793313	0.000	22050.000	SAT.01_perched_28
29	Waveform 1	1	198.049164821	198.378002833	0.000	22050.000	SAT.01_perched_29
29	Spectrogram 1	1	198.049164821	198.378002833	0.000	22050.000	SAT.01_perched_29
30	Waveform 1	1	202.827810820	203.188133322	0.000	22050.000	SAT.01_perched_30
30	Spectrogram 1	1	202.827810820	203.188133322	0.000	22050.000	SAT.01_perched_30
31	Waveform 1	1	210.578242891	210.973548160	0.000	22050.000	SAT.01_perched_31
31	Spectrogram 1	1	210.578242891	210.973548160	0.000	22050.000	SAT.01_perched_31
32	Waveform 1	1	220.891162659	221.228746363	0.000	22050.000	SAT.01_perched_32
32	Spectrogram 1	1	220.891162659	221.228746363	0.000	22050.000	SAT.01_perched_32
33	Waveform 1	1	231.228570364	231.637868740	0.000	22050.000	SAT.01_perched_33
33	Spectrogram 1	1	231.228570364	231.637868740	0.000	22050.000	SAT.01_perched_33
34	Waveform 1	1	237.392533943	237.716124540	0.000	22050.000	SAT.01_perched_34
34	Spectrogram 1	1	237.392533943	237.716124540	0.000	22050.000	SAT.01_perched_34
35	Waveform 1	1	243.218848123	243.536712815	0.000	22050.000	SAT.01_perched_35
35	Spectrogram 1	1	243.218848123	243.536712815	0.000	22050.000	SAT.01_perched_35
36	Waveform 1	1	249.774034379	250.100556864	0.000	22050.000	SAT.01_perched_36
36	Spectrogram 1	1	249.774034379	250.100556864	0.000	22050.000	SAT.01_perched_36
37	Waveform 1	1	255.008052412	255.301942422	0.000	22050.000	SAT.01_perched_37
37	Spectrogram 1	1	255.008052412	255.301942422	0.000	22050.000	SAT.01_perched_37
39	Waveform 1	1	262.064671325	262.415930362	0.000	22050.000	SAT.01_perched_38
39	Spectrogram 1	1	262.064671325	262.415930362	0.000	22050.000	SAT.01_perched_38
40	Waveform 1	1	266.509829702	266.927877429	0.000	22050.000	SAT.01_perched_39
40	Spectrogram 1	1	266.509829702	266.927877429	0.000	22050.000	SAT.01_perched_39
41	Waveform 1	1	272.238815124	272.572758574	0.000	22050.000	SAT.01_perched_40
41	Spectrogram 1	1	272.238815124	272.572758574	0.000	22050.000	SAT.01_perched_40
42	Waveform 1	1	284.809930802	285.205715633	0.000	22050.000	SAT.01_perched_41
42	Spectrogram 1	1	284.809930802	285.205715633	0.000	22050.000	SAT.01_perched_41
43	Waveform 1	1	300.616587470	300.982688438	0.000	22050.000	SAT.01_perched_42
43	Spectrogram 1	1	300.616587470	300.982688438	0.000	22050.000	SAT.01_perched_42
44	Waveform 1	1	310.622522716	310.996044650	0.000	22050.000	SAT.01_perched_43
44	Spectrogram 1	1	310.622522716	310.996044650	0.000	22050.000	SAT.01_perched_43
45	Waveform 1	1	317.976699598	318.414536566	0.000	22050.000	SAT.01_perched_44
45	Spectrogram 1	1	317.976699598	318.414536566	0.000	22050.000	SAT.01_perched_44
46	Waveform 1	1	321.692129694	322.107703766	0.000	22050.000	SAT.01_perched_45
46	Spectrogram 1	1	321.692129694	322.107703766	0.000	22050.000	SAT.01_perched_45
47	Waveform 1	1	326.397021866	326.839806146	0.000	22050.000	SAT.01_perched_46
47	Spectrogram 1	1	326.397021866	326.839806146	0.000	22050.000	SAT.01_perched_46
48	Waveform 1	1	332.581159843	333.031365088	0.000	22050.000	SAT.01_perched_47
48	Spectrogram 1	1	332.581159843	333.031365088	0.000	22050.000	SAT.01_perched_47
49	Waveform 1	1	335.885963178	336.271853387	0.000	22050.000	SAT.01_perched_48
49	Spectrogram 1	1	335.885963178	336.271853387	0.000	22050.000	SAT.01_perched_48
50	Waveform 1	1	340.073861415	340.489435487	0.000	22050.000	SAT.01_perched_49
50	Spectrogram 1	1	340.073861415	340.489435487	0.000	22050.000	SAT.01_perched_49
51	Waveform 1	1	344.892541727	345.236379798	0.000	22050.000	SAT.01_perched_50
51	Spectrogram 1	1	344.892541727	345.236379798	0.000	22050.000	SAT.01_perched_50
52	Waveform 1	1	362.628649443	363.031855239	0.000	22050.000	SAT.01_perched_51
52	Spectrogram 1	1	362.628649443	363.031855239	0.000	22050.000	SAT.01_perched_51
53	Waveform 1	1	366.947651406	367.368172788	0.000	22050.000	SAT.01_perched_52
53	Spectrogram 1	1	366.947651406	367.368172788	0.000	22050.000	SAT.01_perched_52
54	Waveform 1	1	371.133075988	371.533808129	0.000	22050.000	SAT.01_perched_53
54	Spectrogram 1	1	371.133075988	371.533808129	0.000	22050.000	SAT.01_perched_53
55	Waveform 1	1	376.028439611	376.436592717	0.000	22050.000	SAT.01_perched_54
55	Spectrogram 1	1	376.028439611	376.436592717	0.000	22050.000	SAT.01_perched_54
56	Waveform 1	1	383.615140080	384.045556083	0.000	22050.000	SAT.01_perched_55
56	Spectrogram 1	1	383.615140080	384.045556083	0.000	22050.000	SAT.01_perched_55
57	Waveform 1	1	389.940276402	390.316271991	0.000	22050.000	SAT.01_perched_56
57	Spectrogram 1	1	389.940276402	390.316271991	0.000	22050.000	SAT.01_perched_56
58	Waveform 1	1	396.275307346	396.671092176	0.000	22050.000	SAT.01_perched_57
58	Spectrogram 1	1	396.275307346	396.671092176	0.000	22050.000	SAT.01_perched_57
