Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.000000000	0.790341107	0.000	22050.000	SAT.NA_U.nest_NA
1	Spectrogram 1	1	0.000000000	0.790341107	0.000	22050.000	SAT.NA_U.nest_NA
2	Waveform 1	1	1.366825208	1.775942958	0.000	22050.000	SAT.NA_U.nest_NA
2	Spectrogram 1	1	1.366825208	1.775942958	0.000	22050.000	SAT.NA_U.nest_NA
3	Waveform 1	1	1.841029873	2.259445753	0.000	22050.000	SAT.NA_U.nest_NA
3	Spectrogram 1	1	1.841029873	2.259445753	0.000	22050.000	SAT.NA_U.nest_NA
4	Waveform 1	1	2.640669110	3.347327041	0.000	22050.000	SAT.NA_U.nest_NA
4	Spectrogram 1	1	2.640669110	3.347327041	0.000	22050.000	SAT.NA_U.nest_NA
5	Waveform 1	1	3.561184046	4.351525153	0.000	22050.000	SAT.NA_U.nest_NA
5	Spectrogram 1	1	3.561184046	4.351525153	0.000	22050.000	SAT.NA_U.nest_NA
6	Waveform 1	1	4.407313937	5.042013209	0.000	22050.000	SAT.NA_U.nest_NA
6	Spectrogram 1	1	4.407313937	5.042013209	0.000	22050.000	SAT.NA_U.nest_NA
7	Waveform 1	1	6.356254637	6.987504456	0.000	22050.000	SAT.NA_U.nest_NA
7	Spectrogram 1	1	6.356254637	6.987504456	0.000	22050.000	SAT.NA_U.nest_NA
8	Waveform 1	1	10.611298484	11.296511504	0.000	22050.000	SAT.NA_U.nest_NA
8	Spectrogram 1	1	10.611298484	11.296511504	0.000	22050.000	SAT.NA_U.nest_NA
9	Waveform 1	1	11.391744500	12.049084448	0.000	22050.000	SAT.NA_U.nest_NA
9	Spectrogram 1	1	11.391744500	12.049084448	0.000	22050.000	SAT.NA_U.nest_NA
10	Waveform 1	1	12.083925788	12.666937544	0.000	22050.000	SAT.NA_U.nest_NA
10	Spectrogram 1	1	12.083925788	12.666937544	0.000	22050.000	SAT.NA_U.nest_NA
11	Waveform 1	1	13.591394432	14.223184064	0.000	22050.000	SAT.NA_U.nest_NA
11	Spectrogram 1	1	13.591394432	14.223184064	0.000	22050.000	SAT.NA_U.nest_NA
12	Waveform 1	1	14.258025404	14.866587476	0.000	22050.000	SAT.NA_U.nest_NA
12	Spectrogram 1	1	14.258025404	14.866587476	0.000	22050.000	SAT.NA_U.nest_NA
13	Waveform 1	1	14.899106060	15.677229320	0.000	22050.000	SAT.NA_U.nest_NA
13	Spectrogram 1	1	14.899106060	15.677229320	0.000	22050.000	SAT.NA_U.nest_NA
14	Waveform 1	1	15.753880268	16.441416044	0.000	22050.000	SAT.NA_U.nest_NA
14	Spectrogram 1	1	15.753880268	16.441416044	0.000	22050.000	SAT.NA_U.nest_NA
15	Waveform 1	1	16.497162188	17.063914652	0.000	22050.000	SAT.NA_U.nest_NA
15	Spectrogram 1	1	16.497162188	17.063914652	0.000	22050.000	SAT.NA_U.nest_NA
16	Waveform 1	1	17.091787724	17.586534752	0.000	22050.000	SAT.NA_U.nest_NA
16	Spectrogram 1	1	17.091787724	17.586534752	0.000	22050.000	SAT.NA_U.nest_NA
17	Waveform 1	1	17.612085068	18.090572804	0.000	22050.000	SAT.NA_U.nest_NA
17	Spectrogram 1	1	17.612085068	18.090572804	0.000	22050.000	SAT.NA_U.nest_NA
18	Waveform 1	1	18.123091388	18.550478492	0.000	22050.000	SAT.NA_U.nest_NA
18	Spectrogram 1	1	18.123091388	18.550478492	0.000	22050.000	SAT.NA_U.nest_NA
19	Waveform 1	1	18.582997076	19.031288984	0.000	22050.000	SAT.NA_U.nest_NA
19	Spectrogram 1	1	18.582997076	19.031288984	0.000	22050.000	SAT.NA_U.nest_NA
20	Waveform 1	1	19.637528300	20.199635252	0.000	22050.000	SAT.NA_U.nest_NA
20	Spectrogram 1	1	19.637528300	20.199635252	0.000	22050.000	SAT.NA_U.nest_NA
21	Waveform 1	1	21.089250800	21.693167360	0.000	22050.000	SAT.NA_U.nest_NA
21	Spectrogram 1	1	21.089250800	21.693167360	0.000	22050.000	SAT.NA_U.nest_NA
22	Waveform 1	1	21.758204528	22.473613376	0.000	22050.000	SAT.NA_U.nest_NA
22	Spectrogram 1	1	21.758204528	22.473613376	0.000	22050.000	SAT.NA_U.nest_NA
23	Waveform 1	1	23.202958760	24.029859896	0.000	22050.000	SAT.NA_U.nest_NA
23	Spectrogram 1	1	23.202958760	24.029859896	0.000	22050.000	SAT.NA_U.nest_NA
24	Waveform 1	1	24.763850792	25.246984040	0.000	22050.000	SAT.NA_U.nest_NA
24	Spectrogram 1	1	24.763850792	25.246984040	0.000	22050.000	SAT.NA_U.nest_NA
25	Waveform 1	1	25.260920576	25.558233344	0.000	22050.000	SAT.NA_U.nest_NA
25	Spectrogram 1	1	25.260920576	25.558233344	0.000	22050.000	SAT.NA_U.nest_NA
26	Waveform 1	1	25.574492636	25.915937768	0.000	22050.000	SAT.NA_U.nest_NA
26	Spectrogram 1	1	25.574492636	25.915937768	0.000	22050.000	SAT.NA_U.nest_NA
27	Waveform 1	1	25.932197060	26.357261408	0.000	22050.000	SAT.NA_U.nest_NA
27	Spectrogram 1	1	25.932197060	26.357261408	0.000	22050.000	SAT.NA_U.nest_NA
28	Waveform 1	1	26.392102748	26.954209700	0.000	22050.000	SAT.NA_U.nest_NA
28	Spectrogram 1	1	26.392102748	26.954209700	0.000	22050.000	SAT.NA_U.nest_NA
29	Waveform 1	1	29.177087192	29.943596672	0.000	22050.000	SAT.NA_U.nest_NA
29	Spectrogram 1	1	29.177087192	29.943596672	0.000	22050.000	SAT.NA_U.nest_NA
30	Waveform 1	1	30.013279352	30.517317404	0.000	22050.000	SAT.NA_U.nest_NA
30	Spectrogram 1	1	30.013279352	30.517317404	0.000	22050.000	SAT.NA_U.nest_NA
31	Waveform 1	1	30.535899452	30.756561272	0.000	22050.000	SAT.NA_U.nest_NA
31	Spectrogram 1	1	30.535899452	30.756561272	0.000	22050.000	SAT.NA_U.nest_NA
32	Waveform 1	1	30.779788832	31.156075304	0.000	22050.000	SAT.NA_U.nest_NA
32	Spectrogram 1	1	30.779788832	31.156075304	0.000	22050.000	SAT.NA_U.nest_NA
33	Waveform 1	1	32.477723468	33.239587436	0.000	22050.000	SAT.NA_U.nest_NA
33	Spectrogram 1	1	32.477723468	33.239587436	0.000	22050.000	SAT.NA_U.nest_NA
34	Waveform 1	1	33.318561140	33.917832188	0.000	22050.000	SAT.NA_U.nest_NA
34	Spectrogram 1	1	33.318561140	33.917832188	0.000	22050.000	SAT.NA_U.nest_NA
35	Waveform 1	1	34.816738759	35.039723335	0.000	22050.000	SAT.NA_U.nest_NA
35	Spectrogram 1	1	34.816738759	35.039723335	0.000	22050.000	SAT.NA_U.nest_NA
36	Waveform 1	1	38.795619787	39.125451139	0.000	22050.000	SAT.NA_U.nest_NA
36	Spectrogram 1	1	38.795619787	39.125451139	0.000	22050.000	SAT.NA_U.nest_NA
37	Waveform 1	1	39.137064919	39.499414855	0.000	22050.000	SAT.NA_U.nest_NA
37	Spectrogram 1	1	39.137064919	39.499414855	0.000	22050.000	SAT.NA_U.nest_NA
38	Waveform 1	1	39.524965171	39.963966055	0.000	22050.000	SAT.NA_U.nest_NA
38	Spectrogram 1	1	39.524965171	39.963966055	0.000	22050.000	SAT.NA_U.nest_NA
39	Waveform 1	1	40.636900977	41.333294061	0.000	22050.000	SAT.NA_U.nest_NA
39	Spectrogram 1	1	40.636900977	41.333294061	0.000	22050.000	SAT.NA_U.nest_NA
40	Waveform 1	1	43.391006340	43.881114515	0.000	22050.000	SAT.NA_U.nest_NA
40	Spectrogram 1	1	43.391006340	43.881114515	0.000	22050.000	SAT.NA_U.nest_NA
41	Waveform 1	1	43.959925880	44.486976882	0.000	22050.000	SAT.NA_U.nest_NA
41	Spectrogram 1	1	43.959925880	44.486976882	0.000	22050.000	SAT.NA_U.nest_NA
42	Waveform 1	1	46.228215472	46.762655040	0.000	22050.000	SAT.NA_U.nest_NA
42	Spectrogram 1	1	46.228215472	46.762655040	0.000	22050.000	SAT.NA_U.nest_NA
43	Waveform 1	1	46.903037783	47.154249009	0.000	22050.000	SAT.NA_U.nest_NA
