Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	9.383709127	9.795306130	0.0	22050.0	0.412	22050.0		
1	Spectrogram 1	1	9.383709127	9.795306130	0.0	22050.0	0.412	22050.0	-47.9	
2	Waveform 1	1	14.762070243	14.970348244	0.0	22050.0	0.208	22050.0		sqs.01_perched_NA
2	Spectrogram 1	1	14.762070243	14.970348244	0.0	22050.0	0.208	22050.0	-49.2	sqs.01_perched_NA
4	Waveform 1	1	18.571476770	18.878934772	0.0	22050.0	0.307	22050.0		
4	Spectrogram 1	1	18.571476770	18.878934772	0.0	22050.0	0.307	22050.0	-48.4	
5	Waveform 1	1	174.071666901	174.398960903	0.0	22050.0	0.327	22050.0		
5	Spectrogram 1	1	174.071666901	174.398960903	0.0	22050.0	0.327	22050.0	-48.3	
6	Waveform 1	1	174.547730904	174.904778907	0.0	22050.0	0.357	22050.0		
6	Spectrogram 1	1	174.547730904	174.904778907	0.0	22050.0	0.357	22050.0	-49.3	
7	Waveform 1	1	175.003958907	175.395719910	0.0	22050.0	0.392	22050.0		
7	Spectrogram 1	1	175.003958907	175.395719910	0.0	22050.0	0.392	22050.0	-50.2	
8	Waveform 1	1	175.534571911	175.896578913	0.0	22050.0	0.362	22050.0		
8	Spectrogram 1	1	175.534571911	175.896578913	0.0	22050.0	0.362	22050.0	-49.9	
9	Waveform 1	1	176.075102914	176.481740917	0.0	22050.0	0.407	22050.0		
9	Spectrogram 1	1	176.075102914	176.481740917	0.0	22050.0	0.407	22050.0	-49.5	
10	Waveform 1	1	236.802839522	236.911937523	0.0	22050.0	0.109	22050.0		
10	Spectrogram 1	1	236.802839522	236.911937523	0.0	22050.0	0.109	22050.0	-51.6	
