Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	17.086040612	17.476269930	0.000	22050.000	
1	Spectrogram 1	1	17.086040612	17.476269930	0.000	22050.000	
2	Waveform 1	1	60.677657225	60.953819512	0.000	22050.000	
2	Spectrogram 1	1	60.677657225	60.953819512	0.000	22050.000	
3	Waveform 1	1	188.870990036	189.135145267	0.000	22050.000	
3	Spectrogram 1	1	188.870990036	189.135145267	0.000	22050.000	
4	Waveform 1	1	189.171166435	189.453332250	0.000	22050.000	
4	Spectrogram 1	1	189.171166435	189.453332250	0.000	22050.000	
5	Waveform 1	1	189.489353418	189.789529816	0.000	22050.000	
5	Spectrogram 1	1	189.489353418	189.789529816	0.000	22050.000	
6	Waveform 1	1	265.421975222	265.836218653	0.000	22050.000	
6	Spectrogram 1	1	265.421975222	265.836218653	0.000	22050.000	
7	Waveform 1	1	269.300254293	269.624444804	0.000	22050.000	
7	Spectrogram 1	1	269.300254293	269.624444804	0.000	22050.000	
8	Waveform 1	1	272.049870105	272.656226430	0.000	22050.000	
8	Spectrogram 1	1	272.049870105	272.656226430	0.000	22050.000	
9	Waveform 1	1	285.437737485	285.707896244	0.000	22050.000	
9	Spectrogram 1	1	285.437737485	285.707896244	0.000	22050.000	
10	Waveform 1	1	290.846916189	291.171106699	0.000	22050.000	
10	Spectrogram 1	1	290.846916189	291.171106699	0.000	22050.000	
11	Waveform 1	1	294.845265819	295.229491609	0.000	22050.000	
11	Spectrogram 1	1	294.845265819	295.229491609	0.000	22050.000	
12	Waveform 1	1	299.612067030	299.924250484	0.000	22050.000	
12	Spectrogram 1	1	299.612067030	299.924250484	0.000	22050.000	
13	Waveform 1	1	301.461153645	301.749322988	0.000	22050.000	
13	Spectrogram 1	1	301.461153645	301.749322988	0.000	22050.000	
14	Waveform 1	1	301.983460579	302.397704009	0.000	22050.000	
14	Spectrogram 1	1	301.983460579	302.397704009	0.000	22050.000	
15	Waveform 1	1	304.787108143	305.225365685	0.000	22050.000	
15	Spectrogram 1	1	304.787108143	305.225365685	0.000	22050.000	
16	Waveform 1	1	307.950967384	308.275157895	0.000	22050.000	
16	Spectrogram 1	1	307.950967384	308.275157895	0.000	22050.000	
17	Waveform 1	1	311.258911298	311.661147672	0.000	22050.000	
17	Spectrogram 1	1	311.258911298	311.661147672	0.000	22050.000	
18	Waveform 1	1	313.186043777	313.576273095	0.000	22050.000	
18	Spectrogram 1	1	313.186043777	313.576273095	0.000	22050.000	
19	Waveform 1	1	314.746961050	315.167208008	0.000	22050.000	
19	Spectrogram 1	1	314.746961050	315.167208008	0.000	22050.000	
20	Waveform 1	1	315.257260928	315.527419687	0.000	22050.000	
20	Spectrogram 1	1	315.257260928	315.527419687	0.000	22050.000	
21	Waveform 1	1	322.527533303	322.881741454	0.000	22050.000	
21	Spectrogram 1	1	322.527533303	322.881741454	0.000	22050.000	
22	Waveform 1	1	323.716231842	324.208521136	0.000	22050.000	
22	Spectrogram 1	1	323.716231842	324.208521136	0.000	22050.000	
23	Waveform 1	1	325.385212618	325.589332570	0.000	22050.000	
23	Spectrogram 1	1	325.385212618	325.589332570	0.000	22050.000	
24	Waveform 1	1	325.619350209	325.763434881	0.000	22050.000	
24	Spectrogram 1	1	325.619350209	325.763434881	0.000	22050.000	
25	Waveform 1	1	325.841480744	325.985565416	0.000	22050.000	
25	Spectrogram 1	1	325.841480744	325.985565416	0.000	22050.000	
26	Waveform 1	1	326.087625391	326.249720647	0.000	22050.000	
26	Spectrogram 1	1	326.087625391	326.249720647	0.000	22050.000	
27	Waveform 1	1	327.384387434	327.696570888	0.000	22050.000	
27	Spectrogram 1	1	327.384387434	327.696570888	0.000	22050.000	
28	Waveform 1	1	327.708577944	327.954722591	0.000	22050.000	
28	Spectrogram 1	1	327.708577944	327.954722591	0.000	22050.000	
29	Waveform 1	1	327.972733175	328.254898990	0.000	22050.000	
29	Spectrogram 1	1	327.972733175	328.254898990	0.000	22050.000	
30	Waveform 1	1	328.284916630	328.627117724	0.000	22050.000	
30	Spectrogram 1	1	328.284916630	328.627117724	0.000	22050.000	
