Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	14.165046420	14.601483713	0.0	22050.0	0.436	22050.0		
1	Spectrogram 1	1	14.165046420	14.601483713	0.0	22050.0	0.436	22050.0	-44.0	
2	Waveform 1	1	14.930095322	15.294648826	0.0	22050.0	0.365	22050.0		
2	Spectrogram 1	1	14.930095322	15.294648826	0.0	22050.0	0.365	22050.0	-41.2	
3	Waveform 1	1	15.294648826	15.546242089	0.0	22050.0	0.252	22050.0		
3	Spectrogram 1	1	15.294648826	15.546242089	0.0	22050.0	0.252	22050.0	-42.4	
4	Waveform 1	1	15.535972976	15.823508134	0.0	22050.0	0.288	22050.0		
4	Spectrogram 1	1	15.535972976	15.823508134	0.0	22050.0	0.288	22050.0	-42.8	
5	Waveform 1	1	15.823508134	16.136716074	0.0	22050.0	0.313	22050.0		
5	Spectrogram 1	1	15.823508134	16.136716074	0.0	22050.0	0.313	22050.0	-43.8	
6	Waveform 1	1	16.136716074	16.532076916	0.0	22050.0	0.395	22050.0		
6	Spectrogram 1	1	16.136716074	16.532076916	0.0	22050.0	0.395	22050.0	-45.7	
7	Waveform 1	1	16.532076916	17.086609006	0.0	22050.0	0.555	22050.0		
7	Spectrogram 1	1	16.532076916	17.086609006	0.0	22050.0	0.555	22050.0	-47.6	
8	Waveform 1	1	17.102012675	17.564122750	0.0	22050.0	0.462	22050.0		
8	Spectrogram 1	1	17.102012675	17.564122750	0.0	22050.0	0.462	22050.0	-47.2	
9	Waveform 1	1	30.665796359	31.235732118	0.0	22050.0	0.570	22050.0		
9	Spectrogram 1	1	30.665796359	31.235732118	0.0	22050.0	0.570	22050.0	-45.9	
10	Waveform 1	1	31.235732118	31.738918645	0.0	22050.0	0.503	22050.0		
10	Spectrogram 1	1	31.235732118	31.738918645	0.0	22050.0	0.503	22050.0	-45.2	
11	Waveform 1	1	43.264803081	43.752585938	0.0	22050.0	0.488	22050.0		
11	Spectrogram 1	1	43.264803081	43.752585938	0.0	22050.0	0.488	22050.0	-45.1	
12	Waveform 1	1	117.656995861	118.042087591	0.0	22050.0	0.385	22050.0		
12	Spectrogram 1	1	117.656995861	118.042087591	0.0	22050.0	0.385	22050.0	-44.9	
13	Waveform 1	1	126.383406688	126.768498418	0.0	22050.0	0.385	22050.0		
13	Spectrogram 1	1	126.383406688	126.768498418	0.0	22050.0	0.385	22050.0	-46.3	
14	Waveform 1	1	129.979514689	130.513508554	0.0	22050.0	0.534	22050.0		
14	Spectrogram 1	1	129.979514689	130.513508554	0.0	22050.0	0.534	22050.0	-47.1	
15	Waveform 1	1	130.765101817	131.314499350	0.0	22050.0	0.549	22050.0		
15	Spectrogram 1	1	130.765101817	131.314499350	0.0	22050.0	0.549	22050.0	-45.3	
16	Waveform 1	1	134.285850907	134.691480862	0.0	22050.0	0.406	22050.0		
16	Spectrogram 1	1	134.285850907	134.691480862	0.0	22050.0	0.406	22050.0	-46.4	
17	Waveform 1	1	135.898101613	136.406422696	0.0	22050.0	0.508	22050.0		
17	Spectrogram 1	1	135.898101613	136.406422696	0.0	22050.0	0.508	22050.0	-46.4	
18	Waveform 1	1	138.805400907	139.262376425	0.0	22050.0	0.457	22050.0		
18	Spectrogram 1	1	138.805400907	139.262376425	0.0	22050.0	0.457	22050.0	-42.7	
19	Waveform 1	1	139.549911583	139.806639402	0.0	22050.0	0.257	22050.0		
19	Spectrogram 1	1	139.549911583	139.806639402	0.0	22050.0	0.257	22050.0	-44.0	
20	Waveform 1	1	141.614003251	141.978556755	0.0	22050.0	0.365	22050.0		
20	Spectrogram 1	1	141.614003251	141.978556755	0.0	22050.0	0.365	22050.0	-43.3	
21	Waveform 1	1	141.978556755	142.471474168	0.0	22050.0	0.493	22050.0		
21	Spectrogram 1	1	141.978556755	142.471474168	0.0	22050.0	0.493	22050.0	-43.5	
22	Waveform 1	1	147.052379171	147.432336343	0.0	22050.0	0.380	22050.0		NA_flying_01
22	Spectrogram 1	1	147.052379171	147.432336343	0.0	22050.0	0.380	22050.0	-40.9	NA_flying_01
23	Waveform 1	1	147.658256824	148.181981576	0.0	22050.0	0.524	22050.0		NA_flying_01
23	Spectrogram 1	1	147.658256824	148.181981576	0.0	22050.0	0.524	22050.0	-39.8	NA_flying_01
24	Waveform 1	1	154.251129780	154.651625178	0.0	22050.0	0.400	22050.0		
24	Spectrogram 1	1	154.251129780	154.651625178	0.0	22050.0	0.400	22050.0	-46.8	
25	Waveform 1	1	154.841603765	155.339655735	0.0	22050.0	0.498	22050.0		
25	Spectrogram 1	1	154.841603765	155.339655735	0.0	22050.0	0.498	22050.0	-45.7	
26	Waveform 1	1	155.462885088	155.832573148	0.0	22050.0	0.370	22050.0		
26	Spectrogram 1	1	155.462885088	155.832573148	0.0	22050.0	0.370	22050.0	-46.2	
27	Waveform 1	1	156.058493629	156.566814712	0.0	22050.0	0.508	22050.0		
27	Spectrogram 1	1	156.058493629	156.566814712	0.0	22050.0	0.508	22050.0	-47.5	
28	Waveform 1	1	157.003252005	157.639936997	0.0	22050.0	0.637	22050.0		
28	Spectrogram 1	1	157.003252005	157.639936997	0.0	22050.0	0.637	22050.0	-49.6	
29	Waveform 1	1	187.370466523	187.827442041	0.0	22050.0	0.457	22050.0		
29	Spectrogram 1	1	187.370466523	187.827442041	0.0	22050.0	0.457	22050.0	-40.7	
30	Waveform 1	1	188.156053650	188.643836507	0.0	22050.0	0.488	22050.0		
30	Spectrogram 1	1	188.156053650	188.643836507	0.0	22050.0	0.488	22050.0	-42.8	
