Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	193.040077904	193.289955975	0.000	22050.000	
1	Spectrogram 1	1	193.040077904	193.289955975	0.000	22050.000	
2	Waveform 1	1	199.291185255	199.570810715	0.000	22050.000	
2	Spectrogram 1	1	199.291185255	199.570810715	0.000	22050.000	
3	Waveform 1	1	325.214726803	325.488402785	0.000	22050.000	
3	Spectrogram 1	1	325.214726803	325.488402785	0.000	22050.000	
4	Waveform 1	1	335.035898826	335.321473765	0.000	22050.000	
4	Spectrogram 1	1	335.035898826	335.321473765	0.000	22050.000	
