Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	0.149207547	0.388843912	0.0	22050.0	0.240	22050.0		
1	Spectrogram 1	1	0.149207547	0.388843912	0.0	22050.0	0.240	22050.0	-45.7	
2	Waveform 1	1	1.220789025	1.460425389	0.0	22050.0	0.240	22050.0		
2	Spectrogram 1	1	1.220789025	1.460425389	0.0	22050.0	0.240	22050.0	-46.7	
3	Waveform 1	1	4.394840489	4.634476854	0.0	22050.0	0.240	22050.0		
3	Spectrogram 1	1	4.394840489	4.634476854	0.0	22050.0	0.240	22050.0	-47.3	
4	Waveform 1	1	5.375993150	5.597543751	0.0	22050.0	0.222	22050.0		
4	Spectrogram 1	1	5.375993150	5.597543751	0.0	22050.0	0.222	22050.0	-48.6	
5	Waveform 1	1	13.972346803	14.180333081	0.0	22050.0	0.208	22050.0		
5	Spectrogram 1	1	13.972346803	14.180333081	0.0	22050.0	0.208	22050.0	-42.4	
6	Waveform 1	1	14.248154694	14.474226736	0.0	22050.0	0.226	22050.0		
6	Spectrogram 1	1	14.248154694	14.474226736	0.0	22050.0	0.226	22050.0	-42.8	
7	Waveform 1	1	14.474226736	14.754556067	0.0	22050.0	0.280	22050.0		
7	Spectrogram 1	1	14.474226736	14.754556067	0.0	22050.0	0.280	22050.0	-44.0	
8	Waveform 1	1	15.762837373	16.025080941	0.0	22050.0	0.262	22050.0		
8	Spectrogram 1	1	15.762837373	16.025080941	0.0	22050.0	0.262	22050.0	-45.4	
9	Waveform 1	1	16.743990034	16.951976312	0.0	22050.0	0.208	22050.0		
9	Spectrogram 1	1	16.743990034	16.951976312	0.0	22050.0	0.208	22050.0	-43.7	
10	Waveform 1	1	84.564269524	84.831034533	0.0	22050.0	0.267	22050.0		
10	Spectrogram 1	1	84.564269524	84.831034533	0.0	22050.0	0.267	22050.0	-45.6	
11	Waveform 1	1	84.989284962	85.183706918	0.0	22050.0	0.194	22050.0		
11	Spectrogram 1	1	84.989284962	85.183706918	0.0	22050.0	0.194	22050.0	-42.9	
12	Waveform 1	1	85.292221498	85.482122013	0.0	22050.0	0.190	22050.0		
12	Spectrogram 1	1	85.292221498	85.482122013	0.0	22050.0	0.190	22050.0	-45.2	
13	Waveform 1	1	85.531857862	85.785058549	0.0	22050.0	0.253	22050.0		
13	Spectrogram 1	1	85.531857862	85.785058549	0.0	22050.0	0.253	22050.0	-46.2	
14	Waveform 1	1	85.911658892	86.164859579	0.0	22050.0	0.253	22050.0		
14	Spectrogram 1	1	85.911658892	86.164859579	0.0	22050.0	0.253	22050.0	-44.8	
15	Waveform 1	1	86.182945342	86.386410180	0.0	22050.0	0.203	22050.0		
15	Spectrogram 1	1	86.182945342	86.386410180	0.0	22050.0	0.203	22050.0	-39.5	
16	Waveform 1	1	86.395453061	86.657696629	0.0	22050.0	0.262	22050.0		
16	Spectrogram 1	1	86.395453061	86.657696629	0.0	22050.0	0.262	22050.0	-44.2	
17	Waveform 1	1	86.843075704	87.060104864	0.0	22050.0	0.217	22050.0		
17	Spectrogram 1	1	86.843075704	87.060104864	0.0	22050.0	0.217	22050.0	-41.8	
18	Waveform 1	1	87.123405035	87.376605722	0.0	22050.0	0.253	22050.0		
18	Spectrogram 1	1	87.123405035	87.376605722	0.0	22050.0	0.253	22050.0	-44.6	
19	Waveform 1	1	87.453470216	87.620763527	0.0	22050.0	0.167	22050.0		
