Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	13.187779937	13.527196443	0.000	22050.000	
1	Spectrogram 1	1	13.187779937	13.527196443	0.000	22050.000	
3	Waveform 1	1	36.888668199	37.185060077	0.000	22050.000	
3	Spectrogram 1	1	36.888668199	37.185060077	0.000	22050.000	
4	Waveform 1	1	39.766537726	40.096393203	0.000	22050.000	
4	Spectrogram 1	1	39.766537726	40.096393203	0.000	22050.000	
5	Waveform 1	1	64.091858542	64.306981679	0.000	22050.000	
5	Spectrogram 1	1	64.091858542	64.306981679	0.000	22050.000	
6	Waveform 1	1	71.697180053	71.926644733	0.000	22050.000	sqs.01_perched_NA
6	Spectrogram 1	1	71.697180053	71.926644733	0.000	22050.000	sqs.01_perched_NA
