Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	75.860495157	76.361415195	0.000	22050.000	0.5009			
1	Spectrogram 1	1	75.860495157	76.361415195	0.000	22050.000	0.5009			
2	Waveform 1	1	81.025522259	81.295248433	0.000	22050.000	0.2697			
2	Spectrogram 1	1	81.025522259	81.295248433	0.000	22050.000	0.2697			
3	Waveform 1	1	83.287919355	83.469571676	0.000	22050.000	0.1817			
3	Spectrogram 1	1	83.287919355	83.469571676	0.000	22050.000	0.1817			
4	Waveform 1	1	83.552140913	83.821867088	0.000	22050.000	0.2697			
4	Spectrogram 1	1	83.552140913	83.821867088	0.000	22050.000	0.2697			
5	Waveform 1	1	87.078746960	87.375996213	0.000	22050.000	0.2972			
5	Spectrogram 1	1	87.078746960	87.375996213	0.000	22050.000	0.2972			
6	Waveform 1	1	87.695263930	87.920953178	0.000	22050.000	0.2257			
6	Spectrogram 1	1	87.695263930	87.920953178	0.000	22050.000	0.2257			
7	Waveform 1	1	106.380243973	106.732539385	0.000	22050.000	0.3523			
7	Spectrogram 1	1	106.380243973	106.732539385	0.000	22050.000	0.3523			
8	Waveform 1	1	106.732539385	107.183917881	0.000	22050.000	0.4514			
8	Spectrogram 1	1	106.732539385	107.183917881	0.000	22050.000	0.4514			
9	Waveform 1	1	107.183917881	107.695847151	0.000	22050.000	0.5119			
9	Spectrogram 1	1	107.183917881	107.695847151	0.000	22050.000	0.5119			
10	Waveform 1	1	107.695847151	108.141721031	0.000	22050.000	0.4459			
10	Spectrogram 1	1	107.695847151	108.141721031	0.000	22050.000	0.4459			
11	Waveform 1	1	114.481185754	114.706875002	0.000	22050.000	0.2257			
11	Spectrogram 1	1	114.481185754	114.706875002	0.000	22050.000	0.2257			
12	Waveform 1	1	115.372933515	115.609631994	0.000	22050.000	0.2367			
12	Spectrogram 1	1	115.372933515	115.609631994	0.000	22050.000	0.2367			
13	Waveform 1	1	117.349090589	117.668358305	0.000	22050.000	0.3193			
13	Spectrogram 1	1	117.349090589	117.668358305	0.000	22050.000	0.3193			
14	Waveform 1	1	118.571115298	118.818823009	0.000	22050.000	0.2477			
14	Spectrogram 1	1	118.571115298	118.818823009	0.000	22050.000	0.2477			
15	Waveform 1	1	125.338087767	125.684878563	0.000	22050.000	0.3468			
15	Spectrogram 1	1	125.338087767	125.684878563	0.000	22050.000	0.3468			
16	Waveform 1	1	126.020660127	126.312404765	0.000	22050.000	0.2917			
16	Spectrogram 1	1	126.020660127	126.312404765	0.000	22050.000	0.2917			
17	Waveform 1	1	126.350937076	126.664700176	0.000	22050.000	0.3138			
17	Spectrogram 1	1	126.350937076	126.664700176	0.000	22050.000	0.3138			
18	Waveform 1	1	134.556723933	134.914523961	0.000	22050.000	0.3578			
18	Spectrogram 1	1	134.556723933	134.914523961	0.000	22050.000	0.3578			
19	Waveform 1	1	138.927388883	139.120050436	0.000	22050.000	0.1927			
19	Spectrogram 1	1	138.927388883	139.120050436	0.000	22050.000	0.1927			
20	Waveform 1	1	139.345739684	139.593447395	0.000	22050.000	0.2477			
20	Spectrogram 1	1	139.345739684	139.593447395	0.000	22050.000	0.2477			
21	Waveform 1	1	147.112854754	147.333039386	0.000	22050.000	0.2202			
21	Spectrogram 1	1	147.112854754	147.333039386	0.000	22050.000	0.2202			
22	Waveform 1	1	187.996713781	188.293963034	0.000	22050.000	0.2972			
22	Spectrogram 1	1	187.996713781	188.293963034	0.000	22050.000	0.2972			
23	Waveform 1	1	286.557008358	286.821229916	0.000	22050.000	0.2642			
23	Spectrogram 1	1	286.557008358	286.821229916	0.000	22050.000	0.2642			
24	Waveform 1	1	288.043254625	288.285457721	0.000	22050.000	0.2422			
24	Spectrogram 1	1	288.043254625	288.285457721	0.000	22050.000	0.2422			
25	Waveform 1	1	299.457563333	299.727289507	0.000	22050.000	0.2697			
25	Spectrogram 1	1	299.457563333	299.727289507	0.000	22050.000	0.2697			
26	Waveform 1	1	299.974997219	300.239218777	0.000	22050.000	0.2642			
26	Spectrogram 1	1	299.974997219	300.239218777	0.000	22050.000	0.2642			
27	Waveform 1	1	319.584238362	319.964056853	0.000	22050.000	0.3798			
27	Spectrogram 1	1	319.584238362	319.964056853	0.000	22050.000	0.3798			
28	Waveform 1	1	409.490762538	410.046728734	0.000	22050.000	0.5560			
28	Spectrogram 1	1	409.490762538	410.046728734	0.000	22050.000	0.5560			
29	Waveform 1	1	410.382510299	410.591685699	0.000	22050.000	0.2092			
29	Spectrogram 1	1	410.382510299	410.591685699	0.000	22050.000	0.2092			
