Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	1.465304706	1.918318757	0.0	22050.0	0.453	22050.0		
1	Spectrogram 1	1	1.465304706	1.918318757	0.0	22050.0	0.453	22050.0	-45.9	
2	Waveform 1	1	5.766141803	6.168820959	0.0	22050.0	0.403	22050.0		
2	Spectrogram 1	1	5.766141803	6.168820959	0.0	22050.0	0.403	22050.0	-48.6	
3	Waveform 1	1	10.911015617	11.257767113	0.0	22050.0	0.347	22050.0		
3	Spectrogram 1	1	10.911015617	11.257767113	0.0	22050.0	0.347	22050.0	-47.1	
4	Waveform 1	1	22.151506992	22.442330827	0.0	22050.0	0.291	22050.0		
4	Spectrogram 1	1	22.151506992	22.442330827	0.0	22050.0	0.291	22050.0	-46.0	
5	Waveform 1	1	139.962617149	140.326146942	0.0	22050.0	0.364	22050.0		
5	Spectrogram 1	1	139.962617149	140.326146942	0.0	22050.0	0.364	22050.0	-48.3	
6	Waveform 1	1	197.502243438	197.770696209	0.0	22050.0	0.268	22050.0		
6	Spectrogram 1	1	197.502243438	197.770696209	0.0	22050.0	0.268	22050.0	-47.5	
7	Waveform 1	1	197.804252805	198.072705576	0.0	22050.0	0.268	22050.0		
7	Spectrogram 1	1	197.804252805	198.072705576	0.0	22050.0	0.268	22050.0	-46.6	
8	Waveform 1	1	198.978733677	199.308706874	0.0	22050.0	0.330	22050.0		
8	Spectrogram 1	1	198.978733677	199.308706874	0.0	22050.0	0.330	22050.0	-47.7	
9	Waveform 1	1	203.905960571	204.202377172	0.0	22050.0	0.296	22050.0		
9	Spectrogram 1	1	203.905960571	204.202377172	0.0	22050.0	0.296	22050.0	-45.8	
10	Waveform 1	1	203.503281415	203.833254612	0.0	22050.0	0.330	22050.0		
10	Spectrogram 1	1	203.503281415	203.833254612	0.0	22050.0	0.330	22050.0	-42.4	
11	Waveform 1	1	203.246014177	203.508874181	0.0	22050.0	0.263	22050.0		
11	Spectrogram 1	1	203.246014177	203.508874181	0.0	22050.0	0.263	22050.0	-43.4	
12	Waveform 1	1	294.337660183	294.572556357	0.0	22050.0	0.235	22050.0		
12	Spectrogram 1	1	294.337660183	294.572556357	0.0	22050.0	0.235	22050.0	-47.0	
13	Waveform 1	1	294.611705719	294.896936788	0.0	22050.0	0.285	22050.0		
13	Spectrogram 1	1	294.611705719	294.896936788	0.0	22050.0	0.285	22050.0	-48.5	
14	Waveform 1	1	356.116577014	356.396215316	0.0	22050.0	0.280	22050.0		
14	Spectrogram 1	1	356.116577014	356.396215316	0.0	22050.0	0.280	22050.0	-46.9	
