Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.924156354	1.267690915	0.0	22050.0	
1	Spectrogram 1	1	0.924156354	1.267690915	0.0	22050.0	
2	Waveform 1	1	16.347139859	16.661903758	0.0	22050.0	
2	Spectrogram 1	1	16.347139859	16.661903758	0.0	22050.0	
3	Waveform 1	1	19.002104919	19.207385723	0.0	22050.0	
3	Spectrogram 1	1	19.002104919	19.207385723	0.0	22050.0	
4	Waveform 1	1	23.292473715	23.661979162	0.0	22050.0	
4	Spectrogram 1	1	23.292473715	23.661979162	0.0	22050.0	
5	Waveform 1	1	27.589685205	27.924977184	0.0	22050.0	
5	Spectrogram 1	1	27.589685205	27.924977184	0.0	22050.0	
