Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	10.310362297	10.580866675	0.000	22050.000	
1	Spectrogram 1	1	10.310362297	10.580866675	0.000	22050.000	
2	Waveform 1	1	10.697554837	10.941539178	0.000	22050.000	
2	Spectrogram 1	1	10.697554837	10.941539178	0.000	22050.000	
3	Waveform 1	1	11.010491274	11.296907674	0.000	22050.000	
3	Spectrogram 1	1	11.010491274	11.296907674	0.000	22050.000	
4	Waveform 1	1	11.376467785	11.551500030	0.000	22050.000	
4	Spectrogram 1	1	11.376467785	11.551500030	0.000	22050.000	
5	Waveform 1	1	32.527175317	32.818895724	0.000	22050.000	NA_leavning.nest_03
5	Spectrogram 1	1	32.527175317	32.818895724	0.000	22050.000	NA_leavning.nest_03
6	Waveform 1	1	32.818895724	33.073488079	0.000	22050.000	NA_leavning.nest_03
6	Spectrogram 1	1	32.818895724	33.073488079	0.000	22050.000	NA_leavning.nest_03
7	Waveform 1	1	33.688752938	34.012297390	0.000	22050.000	NA_leavning.nest_03
7	Spectrogram 1	1	33.688752938	34.012297390	0.000	22050.000	NA_leavning.nest_03
9	Waveform 1	1	111.923371348	112.199179733	0.000	22050.000	
9	Spectrogram 1	1	111.923371348	112.199179733	0.000	22050.000	
10	Waveform 1	1	127.078421692	127.470918239	0.000	22050.000	
10	Spectrogram 1	1	127.078421692	127.470918239	0.000	22050.000	
11	Waveform 1	1	141.247135559	141.666152144	0.000	22050.000	NA_landing_NA
11	Spectrogram 1	1	141.247135559	141.666152144	0.000	22050.000	NA_landing_NA
12	Waveform 1	1	163.925187856	164.142652160	0.000	22050.000	
12	Spectrogram 1	1	163.925187856	164.142652160	0.000	22050.000	
13	Waveform 1	1	164.132044145	164.471500619	0.000	22050.000	
13	Spectrogram 1	1	164.132044145	164.471500619	0.000	22050.000	
14	Waveform 1	1	184.934170098	185.331970654	0.000	22050.000	
14	Spectrogram 1	1	184.934170098	185.331970654	0.000	22050.000	
15	Waveform 1	1	377.592687391	377.910927835	0.000	22050.000	
15	Spectrogram 1	1	377.592687391	377.910927835	0.000	22050.000	
16	Waveform 1	1	441.811762238	442.103482645	0.000	22050.000	sqs.01_perched_NA
16	Spectrogram 1	1	441.811762238	442.103482645	0.000	22050.000	sqs.01_perched_NA
17	Waveform 1	1	446.730496557	447.022216964	0.000	22050.000	sqs.01_perched_NA
17	Spectrogram 1	1	446.730496557	447.022216964	0.000	22050.000	sqs.01_perched_NA
18	Waveform 1	1	450.009646677	450.290759070	0.000	22050.000	sqs.01_perched_NA
18	Spectrogram 1	1	450.009646677	450.290759070	0.000	22050.000	sqs.01_perched_NA
19	Waveform 1	1	453.882426895	454.158235280	0.000	22050.000	sqs.01_perched_NA
19	Spectrogram 1	1	453.882426895	454.158235280	0.000	22050.000	sqs.01_perched_NA
21	Waveform 1	1	467.086124953	467.377845360	0.000	22050.000	
21	Spectrogram 1	1	467.086124953	467.377845360	0.000	22050.000	
22	Waveform 1	1	481.115451717	481.375348080	0.000	22050.000	
22	Spectrogram 1	1	481.115451717	481.375348080	0.000	22050.000	
23	Waveform 1	1	499.619668920	499.858349253	0.000	22050.000	
