Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	2.533629347	2.792622569	0.000	22050.000	
1	Spectrogram 1	1	2.533629347	2.792622569	0.000	22050.000	
2	Waveform 1	1	3.614644535	3.851116608	0.000	22050.000	
2	Spectrogram 1	1	3.614644535	3.851116608	0.000	22050.000	
3	Waveform 1	1	10.934018205	11.226793152	0.000	22050.000	
3	Spectrogram 1	1	10.934018205	11.226793152	0.000	22050.000	
4	Waveform 1	1	11.290603076	11.557103349	0.000	22050.000	
4	Spectrogram 1	1	11.290603076	11.557103349	0.000	22050.000	
5	Waveform 1	1	11.628420323	11.879906495	0.000	22050.000	
5	Spectrogram 1	1	11.628420323	11.879906495	0.000	22050.000	
6	Waveform 1	1	11.943716419	12.180188492	0.000	22050.000	
6	Spectrogram 1	1	11.943716419	12.180188492	0.000	22050.000	
7	Waveform 1	1	12.326575965	12.589322712	0.000	22050.000	
7	Spectrogram 1	1	12.326575965	12.589322712	0.000	22050.000	
8	Waveform 1	1	12.964675208	13.197393756	0.000	22050.000	
8	Spectrogram 1	1	12.964675208	13.197393756	0.000	22050.000	
9	Waveform 1	1	15.359424132	15.678473753	0.000	22050.000	
9	Spectrogram 1	1	15.359424132	15.678473753	0.000	22050.000	
10	Waveform 1	1	15.719762528	15.858642951	0.000	22050.000	
10	Spectrogram 1	1	15.719762528	15.858642951	0.000	22050.000	
11	Waveform 1	1	15.873657051	16.117636174	0.000	22050.000	
11	Spectrogram 1	1	15.873657051	16.117636174	0.000	22050.000	
12	Waveform 1	1	16.147664373	16.421671695	0.000	22050.000	
12	Spectrogram 1	1	16.147664373	16.421671695	0.000	22050.000	
13	Waveform 1	1	17.288735961	17.513947458	0.000	22050.000	
13	Spectrogram 1	1	17.288735961	17.513947458	0.000	22050.000	
14	Waveform 1	1	17.574003858	17.911821104	0.000	22050.000	
14	Spectrogram 1	1	17.574003858	17.911821104	0.000	22050.000	
15	Waveform 1	1	17.938095779	18.227117201	0.000	22050.000	
15	Spectrogram 1	1	17.938095779	18.227117201	0.000	22050.000	
16	Waveform 1	1	233.979990631	234.190188029	0.000	22050.000	SAT.NA_flyover_NA
16	Spectrogram 1	1	233.979990631	234.190188029	0.000	22050.000	SAT.NA_flyover_NA
17	Waveform 1	1	234.208955654	234.411646002	0.000	22050.000	SAT.NA_flyover_NA
17	Spectrogram 1	1	234.208955654	234.411646002	0.000	22050.000	SAT.NA_flyover_NA
18	Waveform 1	1	234.426660102	234.745709723	0.000	22050.000	SAT.NA_flyover_NA
18	Spectrogram 1	1	234.426660102	234.745709723	0.000	22050.000	SAT.NA_flyover_NA
19	Waveform 1	1	234.749463248	235.053498770	0.000	22050.000	SAT.NA_flyover_NA
19	Spectrogram 1	1	234.749463248	235.053498770	0.000	22050.000	SAT.NA_flyover_NA
20	Waveform 1	1	246.820799516	247.124835038	0.000	22050.000	
20	Spectrogram 1	1	246.820799516	247.124835038	0.000	22050.000	
21	Waveform 1	1	261.091701410	261.497082105	0.000	22050.000	
21	Spectrogram 1	1	261.091701410	261.497082105	0.000	22050.000	
22	Waveform 1	1	267.517736139	267.787989937	0.000	22050.000	
22	Spectrogram 1	1	267.517736139	267.787989937	0.000	22050.000	
23	Waveform 1	1	297.131412787	297.412927159	0.000	22050.000	
23	Spectrogram 1	1	297.131412787	297.412927159	0.000	22050.000	
24	Waveform 1	1	301.898389485	302.134861557	0.000	22050.000	
24	Spectrogram 1	1	301.898389485	302.134861557	0.000	22050.000	
25	Waveform 1	1	307.213380827	307.494895199	0.000	22050.000	
25	Spectrogram 1	1	307.213380827	307.494895199	0.000	22050.000	
