Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	128.499894407	128.725839274	0.000	22050.000	
1	Spectrogram 1	1	128.499894407	128.725839274	0.000	22050.000	
2	Waveform 1	1	128.725839274	128.964336633	0.000	22050.000	
2	Spectrogram 1	1	128.725839274	128.964336633	0.000	22050.000	
3	Waveform 1	1	144.895111789	145.353277769	0.000	22050.000	sqs.01_perched_NA
3	Spectrogram 1	1	144.895111789	145.353277769	0.000	22050.000	sqs.01_perched_NA
4	Waveform 1	1	146.225676003	146.570869549	0.000	22050.000	
4	Spectrogram 1	1	146.225676003	146.570869549	0.000	22050.000	
5	Waveform 1	1	165.093734621	165.533071862	0.000	22050.000	
5	Spectrogram 1	1	165.093734621	165.533071862	0.000	22050.000	
6	Waveform 1	1	166.662796194	166.920122292	0.000	22050.000	
6	Spectrogram 1	1	166.662796194	166.920122292	0.000	22050.000	
7	Waveform 1	1	185.159170187	185.535744964	0.000	22050.000	
7	Spectrogram 1	1	185.159170187	185.535744964	0.000	22050.000	
8	Waveform 1	1	315.828330899	316.292773124	0.000	22050.000	
8	Spectrogram 1	1	315.828330899	316.292773124	0.000	22050.000	
