Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	3.231051283	3.824509682	0.000	22050.000	
1	Spectrogram 1	1	3.231051283	3.824509682	0.000	22050.000	
2	Waveform 1	1	19.385160844	19.636226588	0.000	22050.000	
2	Spectrogram 1	1	19.385160844	19.636226588	0.000	22050.000	
3	Waveform 1	1	21.845258816	22.288210522	0.000	22050.000	
3	Spectrogram 1	1	21.845258816	22.288210522	0.000	22050.000	
4	Waveform 1	1	24.323317096	24.540309632	0.000	22050.000	
4	Spectrogram 1	1	24.323317096	24.540309632	0.000	22050.000	
5	Waveform 1	1	24.599489415	24.855935139	0.000	22050.000	
5	Spectrogram 1	1	24.599489415	24.855935139	0.000	22050.000	
6	Waveform 1	1	25.241500389	25.515879381	0.000	22050.000	
6	Spectrogram 1	1	25.241500389	25.515879381	0.000	22050.000	
7	Waveform 1	1	27.953308052	28.249206965	0.000	22050.000	
7	Spectrogram 1	1	27.953308052	28.249206965	0.000	22050.000	
8	Waveform 1	1	29.019781656	29.304920608	0.000	22050.000	
8	Spectrogram 1	1	29.019781656	29.304920608	0.000	22050.000	
9	Waveform 1	1	29.576287637	29.997719422	0.000	22050.000	
9	Spectrogram 1	1	29.576287637	29.997719422	0.000	22050.000	
10	Waveform 1	1	31.961820509	32.417325502	0.000	22050.000	
10	Spectrogram 1	1	31.961820509	32.417325502	0.000	22050.000	
11	Waveform 1	1	36.499753777	36.709573006	0.000	22050.000	SAT.01_perched_01
11	Spectrogram 1	1	36.499753777	36.709573006	0.000	22050.000	SAT.01_perched_01
12	Waveform 1	1	42.832759279	43.028231895	0.000	22050.000	SAT.01_perched_02
12	Spectrogram 1	1	42.832759279	43.028231895	0.000	22050.000	SAT.01_perched_02
13	Waveform 1	1	48.153734350	48.376106866	0.000	22050.000	SAT.01_perched_03
13	Spectrogram 1	1	48.153734350	48.376106866	0.000	22050.000	SAT.01_perched_03
14	Waveform 1	1	154.418544580	154.712737633	0.000	22050.000	
14	Spectrogram 1	1	154.418544580	154.712737633	0.000	22050.000	
15	Waveform 1	1	155.549666144	155.836250755	0.000	22050.000	
15	Spectrogram 1	1	155.549666144	155.836250755	0.000	22050.000	
16	Waveform 1	1	160.642182708	160.943984201	0.000	22050.000	
16	Spectrogram 1	1	160.642182708	160.943984201	0.000	22050.000	
17	Waveform 1	1	164.211315179	164.487755203	0.000	22050.000	
17	Spectrogram 1	1	164.211315179	164.487755203	0.000	22050.000	
19	Waveform 1	1	196.721575674	197.004356065	0.000	22050.000	
19	Spectrogram 1	1	196.721575674	197.004356065	0.000	22050.000	
20	Waveform 1	1	197.521730054	197.765200166	0.000	22050.000	
20	Spectrogram 1	1	197.521730054	197.765200166	0.000	22050.000	
21	Waveform 1	1	200.769266292	201.039365948	0.000	22050.000	
21	Spectrogram 1	1	200.769266292	201.039365948	0.000	22050.000	
22	Waveform 1	1	272.041337468	272.308900977	0.000	22050.000	
22	Spectrogram 1	1	272.041337468	272.308900977	0.000	22050.000	
23	Waveform 1	1	279.752492433	280.013715575	0.000	22050.000	
23	Spectrogram 1	1	279.752492433	280.013715575	0.000	22050.000	
24	Waveform 1	1	290.021351652	290.239460294	0.000	22050.000	
24	Spectrogram 1	1	290.021351652	290.239460294	0.000	22050.000	
