Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	1.730662582	1.989645344	0.0	22050.0	0.259	22050.0		
1	Spectrogram 1	1	1.730662582	1.989645344	0.0	22050.0	0.259	22050.0	-45.4	
2	Waveform 1	1	19.537563335	19.804767772	0.0	22050.0	0.267	22050.0		
2	Spectrogram 1	1	19.537563335	19.804767772	0.0	22050.0	0.267	22050.0	-36.1	
3	Waveform 1	1	21.457324442	21.728639716	0.0	22050.0	0.271	22050.0		
3	Spectrogram 1	1	21.457324442	21.728639716	0.0	22050.0	0.271	22050.0	-40.8	
4	Waveform 1	1	26.371742845	26.930816743	0.0	22050.0	0.559	22050.0		
4	Spectrogram 1	1	26.371742845	26.930816743	0.0	22050.0	0.559	22050.0	-44.9	
5	Waveform 1	1	27.547442366	27.880420203	0.0	22050.0	0.333	22050.0		
5	Spectrogram 1	1	27.547442366	27.880420203	0.0	22050.0	0.333	22050.0	-42.9	
6	Waveform 1	1	27.880420203	28.254506414	0.0	22050.0	0.374	22050.0		
6	Spectrogram 1	1	27.880420203	28.254506414	0.0	22050.0	0.374	22050.0	-41.2	
7	Waveform 1	1	28.587484251	28.961570462	0.0	22050.0	0.374	22050.0		
7	Spectrogram 1	1	28.587484251	28.961570462	0.0	22050.0	0.374	22050.0	-38.0	
8	Waveform 1	1	29.076673912	29.442538448	0.0	22050.0	0.366	22050.0		
8	Spectrogram 1	1	29.076673912	29.442538448	0.0	22050.0	0.366	22050.0	-40.1	
9	Waveform 1	1	29.696644900	29.828191699	0.0	22050.0	0.132	22050.0		
9	Spectrogram 1	1	29.696644900	29.828191699	0.0	22050.0	0.132	22050.0	-45.8	
10	Waveform 1	1	43.517410591	43.944937690	0.0	22050.0	0.428	22050.0		
10	Spectrogram 1	1	43.517410591	43.944937690	0.0	22050.0	0.428	22050.0	-45.6	
11	Waveform 1	1	44.598560851	44.849321937	0.0	22050.0	0.251	22050.0		
11	Spectrogram 1	1	44.598560851	44.849321937	0.0	22050.0	0.251	22050.0	-42.2	
12	Waveform 1	1	44.952092874	45.161745586	0.0	22050.0	0.210	22050.0		
12	Spectrogram 1	1	44.952092874	45.161745586	0.0	22050.0	0.210	22050.0	-44.6	
13	Waveform 1	1	58.484641071	58.681961270	0.0	22050.0	0.197	22050.0		
13	Spectrogram 1	1	58.484641071	58.681961270	0.0	22050.0	0.197	22050.0	-47.9	
14	Waveform 1	1	70.620576137	70.834339686	0.0	22050.0	0.214	22050.0		
14	Spectrogram 1	1	70.620576137	70.834339686	0.0	22050.0	0.214	22050.0	-46.5	
15	Waveform 1	1	73.489940703	73.765366815	0.0	22050.0	0.275	22050.0		
15	Spectrogram 1	1	73.489940703	73.765366815	0.0	22050.0	0.275	22050.0	-43.0	
16	Waveform 1	1	76.201868643	76.481405592	0.0	22050.0	0.280	22050.0		
16	Spectrogram 1	1	76.201868643	76.481405592	0.0	22050.0	0.280	22050.0	-43.3	
17	Waveform 1	1	84.125266672	84.454133670	0.0	22050.0	0.329	22050.0		
17	Spectrogram 1	1	84.125266672	84.454133670	0.0	22050.0	0.329	22050.0	-41.5	
18	Waveform 1	1	86.558269949	86.829585223	0.0	22050.0	0.271	22050.0		
18	Spectrogram 1	1	86.558269949	86.829585223	0.0	22050.0	0.271	22050.0	-46.1	
19	Waveform 1	1	88.390784809	88.711430133	0.0	22050.0	0.321	22050.0		
19	Spectrogram 1	1	88.390784809	88.711430133	0.0	22050.0	0.321	22050.0	-41.5	
20	Waveform 1	1	90.388651828	90.688742965	0.0	22050.0	0.300	22050.0		
20	Spectrogram 1	1	90.388651828	90.688742965	0.0	22050.0	0.300	22050.0	-44.4	
21	Waveform 1	1	93.034959554	93.310385666	0.0	22050.0	0.275	22050.0		
21	Spectrogram 1	1	93.034959554	93.310385666	0.0	22050.0	0.275	22050.0	-45.8	
22	Waveform 1	1	93.273388128	93.528260052	0.0	22050.0	0.255	22050.0		
22	Spectrogram 1	1	93.273388128	93.528260052	0.0	22050.0	0.255	22050.0	-46.5	
23	Waveform 1	1	95.036171938	95.352706424	0.0	22050.0	0.317	22050.0		
23	Spectrogram 1	1	95.036171938	95.352706424	0.0	22050.0	0.317	22050.0	-44.3	
24	Waveform 1	1	99.733634384	99.951508771	0.0	22050.0	0.218	22050.0		
24	Spectrogram 1	1	99.733634384	99.951508771	0.0	22050.0	0.218	22050.0	-46.4	
25	Waveform 1	1	100.572245231	100.860003855	0.0	22050.0	0.288	22050.0		
25	Spectrogram 1	1	100.572245231	100.860003855	0.0	22050.0	0.288	22050.0	-46.8	
26	Waveform 1	1	101.608176278	101.850715690	0.0	22050.0	0.243	22050.0		
26	Spectrogram 1	1	101.608176278	101.850715690	0.0	22050.0	0.243	22050.0	-44.4	
27	Waveform 1	1	103.386790922	103.666327871	0.0	22050.0	0.280	22050.0		
27	Spectrogram 1	1	103.386790922	103.666327871	0.0	22050.0	0.280	22050.0	-43.2	
28	Waveform 1	1	103.699214571	103.958197333	0.0	22050.0	0.259	22050.0		
28	Spectrogram 1	1	103.699214571	103.958197333	0.0	22050.0	0.259	22050.0	-44.5	
29	Waveform 1	1	158.744309925	159.163615348	0.0	22050.0	0.419	22050.0		
29	Spectrogram 1	1	158.744309925	159.163615348	0.0	22050.0	0.419	22050.0	-41.3	
30	Waveform 1	1	159.525369047	159.907676933	0.0	22050.0	0.382	22050.0		
30	Spectrogram 1	1	159.525369047	159.907676933	0.0	22050.0	0.382	22050.0	-44.5	
31	Waveform 1	1	160.088553783	160.425642457	0.0	22050.0	0.337	22050.0		
31	Spectrogram 1	1	160.088553783	160.425642457	0.0	22050.0	0.337	22050.0	-46.7	
32	Waveform 1	1	177.521368325	177.796794436	0.0	22050.0	0.275	22050.0		
32	Spectrogram 1	1	177.521368325	177.796794436	0.0	22050.0	0.275	22050.0	-42.5	
33	Waveform 1	1	179.641794879	179.892555966	0.0	22050.0	0.251	22050.0		
33	Spectrogram 1	1	179.641794879	179.892555966	0.0	22050.0	0.251	22050.0	-46.1	
34	Waveform 1	1	179.892555966	180.155649565	0.0	22050.0	0.263	22050.0		
34	Spectrogram 1	1	179.892555966	180.155649565	0.0	22050.0	0.263	22050.0	-45.6	
35	Waveform 1	1	180.747610163	180.920265338	0.0	22050.0	0.173	22050.0		
35	Spectrogram 1	1	180.747610163	180.920265338	0.0	22050.0	0.173	22050.0	-46.8	
36	Waveform 1	1	181.010703763	181.298462387	0.0	22050.0	0.288	22050.0		
36	Spectrogram 1	1	181.010703763	181.298462387	0.0	22050.0	0.288	22050.0	-41.8	
37	Waveform 1	1	181.367734109	181.984359732	0.0	22050.0	0.617	22050.0		
