Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.210699319	0.517171056	0.000	22050.000	
1	Spectrogram 1	1	0.210699319	0.517171056	0.000	22050.000	
2	Waveform 1	1	1.479683855	2.150090780	0.000	22050.000	
2	Spectrogram 1	1	1.479683855	2.150090780	0.000	22050.000	
3	Waveform 1	1	3.035985645	4.175677417	0.000	22050.000	
3	Spectrogram 1	1	3.035985645	4.175677417	0.000	22050.000	
4	Waveform 1	1	4.482149154	5.061572282	0.000	22050.000	
4	Spectrogram 1	1	4.482149154	5.061572282	0.000	22050.000	
5	Waveform 1	1	6.033662323	6.416751994	0.000	22050.000	SAT.NA_U.return.home_02
5	Spectrogram 1	1	6.033662323	6.416751994	0.000	22050.000	SAT.NA_U.return.home_02
6	Waveform 1	1	6.464638203	6.838150632	0.000	22050.000	SAT.NA_U.return.home_02
6	Spectrogram 1	1	6.464638203	6.838150632	0.000	22050.000	SAT.NA_U.return.home_02
7	Waveform 1	1	7.000963743	7.594752733	0.000	22050.000	SAT.NA_U.return.home_02
7	Spectrogram 1	1	7.000963743	7.594752733	0.000	22050.000	SAT.NA_U.return.home_02
8	Waveform 1	1	8.993030033	9.309079012	0.000	22050.000	SAT.NA_U.return.home_02
8	Spectrogram 1	1	8.993030033	9.309079012	0.000	22050.000	SAT.NA_U.return.home_02
9	Waveform 1	1	10.156664910	10.621161136	0.000	22050.000	SAT.NA_U.return.home_02
9	Spectrogram 1	1	10.156664910	10.621161136	0.000	22050.000	SAT.NA_U.return.home_02
10	Waveform 1	1	11.358608753	11.727332562	0.000	22050.000	SAT.NA_U.return.home_02
10	Spectrogram 1	1	11.358608753	11.727332562	0.000	22050.000	SAT.NA_U.return.home_02
11	Waveform 1	1	11.770430150	12.301967069	0.000	22050.000	SAT.NA_U.return.home_02
11	Spectrogram 1	1	11.770430150	12.301967069	0.000	22050.000	SAT.NA_U.return.home_02
12	Waveform 1	1	16.238213441	16.774538981	0.000	22050.000	
12	Spectrogram 1	1	16.238213441	16.774538981	0.000	22050.000	
13	Waveform 1	1	16.879888641	17.444945906	0.000	22050.000	
13	Spectrogram 1	1	16.879888641	17.444945906	0.000	22050.000	
14	Waveform 1	1	40.712854815	41.206082767	0.000	22050.000	SAT.NA_U.nest_NA
14	Spectrogram 1	1	40.712854815	41.206082767	0.000	22050.000	SAT.NA_U.nest_NA
15	Waveform 1	1	41.301855185	41.756774169	0.000	22050.000	SAT.NA_U.nest_NA
15	Spectrogram 1	1	41.301855185	41.756774169	0.000	22050.000	SAT.NA_U.nest_NA
16	Waveform 1	1	41.766351411	42.115920736	0.000	22050.000	SAT.NA_U.nest_NA
16	Spectrogram 1	1	41.766351411	42.115920736	0.000	22050.000	SAT.NA_U.nest_NA
17	Waveform 1	1	43.236458025	43.643490800	0.000	22050.000	SAT.NA_U.nest_NA
17	Spectrogram 1	1	43.236458025	43.643490800	0.000	22050.000	SAT.NA_U.nest_NA
18	Waveform 1	1	43.677011147	44.103198406	0.000	22050.000	SAT.NA_U.nest_NA
18	Spectrogram 1	1	43.677011147	44.103198406	0.000	22050.000	SAT.NA_U.nest_NA
19	Waveform 1	1	44.859800507	45.487109844	0.000	22050.000	SAT.NA_U.nest_NA
19	Spectrogram 1	1	44.859800507	45.487109844	0.000	22050.000	SAT.NA_U.nest_NA
20	Waveform 1	1	46.186248494	46.478354368	0.000	22050.000	SAT.NA_U.nest_NA
20	Spectrogram 1	1	46.186248494	46.478354368	0.000	22050.000	SAT.NA_U.nest_NA
21	Waveform 1	1	54.063529859	54.753091268	0.000	22050.000	SAT.NA_U.nest_NA
21	Spectrogram 1	1	54.063529859	54.753091268	0.000	22050.000	SAT.NA_U.nest_NA
22	Waveform 1	1	56.476994788	56.845718597	0.000	22050.000	SAT.NA_U.nest_NA
22	Spectrogram 1	1	56.476994788	56.845718597	0.000	22050.000	SAT.NA_U.nest_NA
23	Waveform 1	1	60.911257733	61.461949136	0.000	22050.000	SAT.NA_U.nest_NA
23	Spectrogram 1	1	60.911257733	61.461949136	0.000	22050.000	SAT.NA_U.nest_NA
24	Waveform 1	1	64.143576835	64.914544798	0.000	22050.000	SAT.NA_U.nest_NA
24	Spectrogram 1	1	64.143576835	64.914544798	0.000	22050.000	SAT.NA_U.nest_NA
25	Waveform 1	1	66.729432116	67.174773859	0.000	22050.000	SAT.NA_U.nest_NA
25	Spectrogram 1	1	66.729432116	67.174773859	0.000	22050.000	SAT.NA_U.nest_NA
26	Waveform 1	1	67.217871447	67.572229393	0.000	22050.000	SAT.NA_U.nest_NA
26	Spectrogram 1	1	67.217871447	67.572229393	0.000	22050.000	SAT.NA_U.nest_NA
27	Waveform 1	1	67.773351470	68.271368043	0.000	22050.000	SAT.NA_U.nest_NA
27	Spectrogram 1	1	67.773351470	68.271368043	0.000	22050.000	SAT.NA_U.nest_NA
28	Waveform 1	1	70.337657957	70.713564697	0.000	22050.000	SAT.NA_U.nest_NA
28	Spectrogram 1	1	70.337657957	70.713564697	0.000	22050.000	SAT.NA_U.nest_NA
30	Waveform 1	1	70.725536249	70.941024190	0.000	22050.000	SAT.NA_U.nest_NA
30	Spectrogram 1	1	70.725536249	70.941024190	0.000	22050.000	SAT.NA_U.nest_NA
31	Waveform 1	1	70.950601431	71.223552822	0.000	22050.000	SAT.NA_U.nest_NA
31	Spectrogram 1	1	70.950601431	71.223552822	0.000	22050.000	SAT.NA_U.nest_NA
32	Waveform 1	1	71.285804894	71.589882320	0.000	22050.000	SAT.NA_U.nest_NA
32	Spectrogram 1	1	71.285804894	71.589882320	0.000	22050.000	SAT.NA_U.nest_NA
33	Waveform 1	1	72.767883059	73.007314104	0.000	22050.000	SAT.NA_U.nest_NA
33	Spectrogram 1	1	72.767883059	73.007314104	0.000	22050.000	SAT.NA_U.nest_NA
34	Waveform 1	1	78.023394487	78.351415018	0.000	22050.000	SAT.NA_U.nest_NA
34	Spectrogram 1	1	78.023394487	78.351415018	0.000	22050.000	SAT.NA_U.nest_NA
35	Waveform 1	1	83.283694536	83.664389897	0.000	22050.000	SAT.NA_U.nest_NA
35	Spectrogram 1	1	83.283694536	83.664389897	0.000	22050.000	SAT.NA_U.nest_NA
36	Waveform 1	1	85.227874618	85.443362558	0.000	22050.000	SAT.NA_U.nest_NA
36	Spectrogram 1	1	85.227874618	85.443362558	0.000	22050.000	SAT.NA_U.nest_NA
37	Waveform 1	1	85.553500838	85.733074122	0.000	22050.000	SAT.NA_U.nest_NA
37	Spectrogram 1	1	85.553500838	85.733074122	0.000	22050.000	SAT.NA_U.nest_NA
38	Waveform 1	1	85.998842581	86.271793972	0.000	22050.000	SAT.NA_U.nest_NA
38	Spectrogram 1	1	85.998842581	86.271793972	0.000	22050.000	SAT.NA_U.nest_NA
39	Waveform 1	1	88.089075600	88.306957851	0.000	22050.000	SAT.NA_U.nest_NA
39	Spectrogram 1	1	88.089075600	88.306957851	0.000	22050.000	SAT.NA_U.nest_NA
40	Waveform 1	1	89.221584441	89.477775659	0.000	22050.000	SAT.NA_U.nest_NA
40	Spectrogram 1	1	89.221584441	89.477775659	0.000	22050.000	SAT.NA_U.nest_NA
41	Waveform 1	1	89.508901694	89.705235151	0.000	22050.000	SAT.NA_U.nest_NA
41	Spectrogram 1	1	89.508901694	89.705235151	0.000	22050.000	SAT.NA_U.nest_NA
42	Waveform 1	1	94.898494507	95.298344352	0.000	22050.000	SAT.NA_U.nest_NA
42	Spectrogram 1	1	94.898494507	95.298344352	0.000	22050.000	SAT.NA_U.nest_NA
43	Waveform 1	1	100.587376126	101.157222012	0.000	22050.000	SAT.NA_U.nest_NA
43	Spectrogram 1	1	100.587376126	101.157222012	0.000	22050.000	SAT.NA_U.nest_NA
44	Waveform 1	1	101.648055653	101.901852560	0.000	22050.000	SAT.NA_U.nest_NA
44	Spectrogram 1	1	101.648055653	101.901852560	0.000	22050.000	SAT.NA_U.nest_NA
45	Waveform 1	1	102.792536046	102.991263813	0.000	22050.000	SAT.NA_U.nest_NA
45	Spectrogram 1	1	102.792536046	102.991263813	0.000	22050.000	SAT.NA_U.nest_NA
46	Waveform 1	1	103.630544702	103.972931096	0.000	22050.000	SAT.NA_U.nest_NA
46	Spectrogram 1	1	103.630544702	103.972931096	0.000	22050.000	SAT.NA_U.nest_NA
47	Waveform 1	1	104.988118724	105.220366838	0.000	22050.000	SAT.NA_U.nest_NA
47	Spectrogram 1	1	104.988118724	105.220366838	0.000	22050.000	SAT.NA_U.nest_NA
48	Waveform 1	1	105.249098563	105.471769434	0.000	22050.000	SAT.NA_U.nest_NA
48	Spectrogram 1	1	105.249098563	105.471769434	0.000	22050.000	SAT.NA_U.nest_NA
49	Waveform 1	1	105.852464795	106.015277906	0.000	22050.000	SAT.NA_U.nest_NA
49	Spectrogram 1	1	105.852464795	106.015277906	0.000	22050.000	SAT.NA_U.nest_NA
50	Waveform 1	1	106.022460837	106.324143953	0.000	22050.000	SAT.NA_U.nest_NA
50	Spectrogram 1	1	106.022460837	106.324143953	0.000	22050.000	SAT.NA_U.nest_NA
51	Waveform 1	1	106.340904126	106.621038448	0.000	22050.000	SAT.NA_U.nest_NA
51	Spectrogram 1	1	106.340904126	106.621038448	0.000	22050.000	SAT.NA_U.nest_NA
52	Waveform 1	1	106.640192932	106.767091385	0.000	22050.000	SAT.NA_U.nest_NA
52	Spectrogram 1	1	106.640192932	106.767091385	0.000	22050.000	SAT.NA_U.nest_NA
53	Waveform 1	1	107.533270728	107.854108328	0.000	22050.000	SAT.NA_U.nest_NA
53	Spectrogram 1	1	107.533270728	107.854108328	0.000	22050.000	SAT.NA_U.nest_NA
54	Waveform 1	1	107.868474190	108.165368686	0.000	22050.000	SAT.NA_U.nest_NA
54	Spectrogram 1	1	107.868474190	108.165368686	0.000	22050.000	SAT.NA_U.nest_NA
55	Waveform 1	1	108.196494721	108.467051802	0.000	22050.000	SAT.NA_U.nest_NA
55	Spectrogram 1	1	108.196494721	108.467051802	0.000	22050.000	SAT.NA_U.nest_NA
56	Waveform 1	1	108.500572148	108.711271467	0.000	22050.000	SAT.NA_U.nest_NA
56	Spectrogram 1	1	108.500572148	108.711271467	0.000	22050.000	SAT.NA_U.nest_NA
57	Waveform 1	1	109.046474930	109.475056499	0.000	22050.000	SAT.NA_U.nest_NA
57	Spectrogram 1	1	109.046474930	109.475056499	0.000	22050.000	SAT.NA_U.nest_NA
58	Waveform 1	1	109.546885813	109.951524278	0.000	22050.000	SAT.NA_U.nest_NA
58	Spectrogram 1	1	109.546885813	109.951524278	0.000	22050.000	SAT.NA_U.nest_NA
59	Waveform 1	1	110.588410856	110.870939489	0.000	22050.000	SAT.NA_U.nest_NA
