Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	18.741129753	19.232977931	0.000	22050.000	
1	Spectrogram 1	1	18.741129753	19.232977931	0.000	22050.000	
2	Waveform 1	1	19.281093514	19.516325252	0.000	22050.000	
2	Spectrogram 1	1	19.281093514	19.516325252	0.000	22050.000	
3	Waveform 1	1	19.585825538	19.970750199	0.000	22050.000	
3	Spectrogram 1	1	19.585825538	19.970750199	0.000	22050.000	
4	Waveform 1	1	110.534703608	110.962397676	0.000	22050.000	
4	Spectrogram 1	1	110.534703608	110.962397676	0.000	22050.000	
5	Waveform 1	1	110.962397676	111.384745569	0.000	22050.000	
5	Spectrogram 1	1	110.962397676	111.384745569	0.000	22050.000	
6	Waveform 1	1	163.057776736	163.293008474	0.000	22050.000	NA_flight_03
6	Spectrogram 1	1	163.057776736	163.293008474	0.000	22050.000	NA_flight_03
7	Waveform 1	1	163.742087246	163.988011335	0.000	22050.000	NA_flight_03
7	Spectrogram 1	1	163.742087246	163.988011335	0.000	22050.000	NA_flight_03
8	Waveform 1	1	163.988011335	164.191166018	0.000	22050.000	NA_flight_03
8	Spectrogram 1	1	163.988011335	164.191166018	0.000	22050.000	NA_flight_03
9	Waveform 1	1	164.191166018	164.426397755	0.000	22050.000	NA_flight_03
9	Spectrogram 1	1	164.191166018	164.426397755	0.000	22050.000	NA_flight_03
10	Waveform 1	1	164.923592110	165.212285606	0.000	22050.000	NA_flight_03
10	Spectrogram 1	1	164.923592110	165.212285606	0.000	22050.000	NA_flight_03
