Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	1.779526101	2.034632989	0.000	22050.000	
1	Spectrogram 1	1	1.779526101	2.034632989	0.000	22050.000	
2	Waveform 1	1	11.228323510	11.461667962	0.000	22050.000	
2	Spectrogram 1	1	11.228323510	11.461667962	0.000	22050.000	
3	Waveform 1	1	17.705399821	18.002383669	0.000	22050.000	
3	Spectrogram 1	1	17.705399821	18.002383669	0.000	22050.000	
4	Waveform 1	1	23.468300687	23.740535881	0.000	22050.000	
4	Spectrogram 1	1	23.468300687	23.740535881	0.000	22050.000	
5	Waveform 1	1	23.804175277	24.044590774	0.000	22050.000	
5	Spectrogram 1	1	23.804175277	24.044590774	0.000	22050.000	
6	Waveform 1	1	50.247402435	50.537401459	0.000	22050.000	
6	Spectrogram 1	1	50.247402435	50.537401459	0.000	22050.000	
7	Waveform 1	1	69.297338304	69.537337496	0.000	22050.000	
7	Spectrogram 1	1	69.297338304	69.537337496	0.000	22050.000	
8	Waveform 1	1	69.697336957	69.947336116	0.000	22050.000	
8	Spectrogram 1	1	69.697336957	69.947336116	0.000	22050.000	
9	Waveform 1	1	72.727326757	72.987325882	0.000	22050.000	
9	Spectrogram 1	1	72.727326757	72.987325882	0.000	22050.000	
10	Waveform 1	1	82.557293665	82.917292453	0.000	22050.000	
10	Spectrogram 1	1	82.557293665	82.917292453	0.000	22050.000	
11	Waveform 1	1	26.648724196	27.000458718	0.000	22050.000	
11	Spectrogram 1	1	26.648724196	27.000458718	0.000	22050.000	
12	Waveform 1	1	31.178378529	31.675954194	0.000	22050.000	
12	Spectrogram 1	1	31.178378529	31.675954194	0.000	22050.000	
13	Waveform 1	1	45.513705026	46.079911817	0.000	22050.000	
13	Spectrogram 1	1	45.513705026	46.079911817	0.000	22050.000	
14	Waveform 1	1	74.922142627	75.385402729	0.000	22050.000	
14	Spectrogram 1	1	74.922142627	75.385402729	0.000	22050.000	
15	Waveform 1	1	78.370856722	78.859853496	0.000	22050.000	
15	Spectrogram 1	1	78.370856722	78.859853496	0.000	22050.000	
16	Waveform 1	1	84.153029109	84.573394757	0.000	22050.000	
16	Spectrogram 1	1	84.153029109	84.573394757	0.000	22050.000	
17	Waveform 1	1	89.266048015	89.489099175	0.000	22050.000	SAT.NA_U.take.off_02
17	Spectrogram 1	1	89.266048015	89.489099175	0.000	22050.000	SAT.NA_U.take.off_02
18	Waveform 1	1	89.523414739	89.815097025	0.000	22050.000	SAT.NA_U.take.off_02
18	Spectrogram 1	1	89.523414739	89.815097025	0.000	22050.000	SAT.NA_U.take.off_02
19	Waveform 1	1	89.918043715	90.192568220	0.000	22050.000	SAT.NA_U.take.off_02
19	Spectrogram 1	1	89.918043715	90.192568220	0.000	22050.000	SAT.NA_U.take.off_02
20	Waveform 1	1	90.887458373	91.196298441	0.000	22050.000	SAT.NA_U.take.off_02
20	Spectrogram 1	1	90.887458373	91.196298441	0.000	22050.000	SAT.NA_U.take.off_02
21	Waveform 1	1	93.323863355	93.684176768	0.000	22050.000	
21	Spectrogram 1	1	93.323863355	93.684176768	0.000	22050.000	
22	Waveform 1	1	130.942299435	131.109587805	0.000	22050.000	
22	Spectrogram 1	1	130.942299435	131.109587805	0.000	22050.000	
23	Waveform 1	1	131.128890310	131.317625907	0.000	22050.000	
23	Spectrogram 1	1	131.128890310	131.317625907	0.000	22050.000	
24	Waveform 1	1	131.369099251	131.506361504	0.000	22050.000	
24	Spectrogram 1	1	131.369099251	131.506361504	0.000	22050.000	
25	Waveform 1	1	131.716544328	131.976055774	0.000	22050.000	
25	Spectrogram 1	1	131.716544328	131.976055774	0.000	22050.000	
26	Waveform 1	1	145.088920335	145.398296120	0.000	22050.000	
26	Spectrogram 1	1	145.088920335	145.398296120	0.000	22050.000	
27	Waveform 1	1	146.041312455	146.423482542	0.000	22050.000	
27	Spectrogram 1	1	146.041312455	146.423482542	0.000	22050.000	
28	Waveform 1	1	149.674961372	150.032866691	0.000	22050.000	
28	Spectrogram 1	1	149.674961372	150.032866691	0.000	22050.000	
29	Waveform 1	1	150.044999074	150.342242475	0.000	22050.000	
29	Spectrogram 1	1	150.044999074	150.342242475	0.000	22050.000	
30	Waveform 1	1	152.641329185	152.883976859	0.000	22050.000	
30	Spectrogram 1	1	152.641329185	152.883976859	0.000	22050.000	
31	Waveform 1	1	153.915229473	154.248870025	0.000	22050.000	
31	Spectrogram 1	1	153.915229473	154.248870025	0.000	22050.000	
32	Waveform 1	1	154.285267176	154.758430140	0.000	22050.000	
32	Spectrogram 1	1	154.285267176	154.758430140	0.000	22050.000	
33	Waveform 1	1	156.196117607	156.487294816	0.000	22050.000	
33	Spectrogram 1	1	156.196117607	156.487294816	0.000	22050.000	
34	Waveform 1	1	156.541890543	156.796670600	0.000	22050.000	
34	Spectrogram 1	1	156.541890543	156.796670600	0.000	22050.000	
35	Waveform 1	1	159.920759402	160.308995680	0.000	22050.000	
35	Spectrogram 1	1	159.920759402	160.308995680	0.000	22050.000	
36	Waveform 1	1	255.656329824	256.068830869	0.000	22050.000	
36	Spectrogram 1	1	255.656329824	256.068830869	0.000	22050.000	
37	Waveform 1	1	256.463133339	257.051553948	0.000	22050.000	
37	Spectrogram 1	1	256.463133339	257.051553948	0.000	22050.000	
38	Waveform 1	1	270.328217815	270.989432726	0.000	22050.000	
38	Spectrogram 1	1	270.328217815	270.989432726	0.000	22050.000	
