Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	1.726219637	2.481824675	0.000	22050.000	SAT.NA_U.nest_NA
1	Spectrogram 1	1	1.726219637	2.481824675	0.000	22050.000	SAT.NA_U.nest_NA
2	Waveform 1	1	3.968462227	4.509057701	0.000	22050.000	SAT.NA_U.nest_NA
2	Spectrogram 1	1	3.968462227	4.509057701	0.000	22050.000	SAT.NA_U.nest_NA
3	Waveform 1	1	6.696012117	7.144460635	0.000	22050.000	SAT.NA_U.nest_NA
3	Spectrogram 1	1	6.696012117	7.144460635	0.000	22050.000	SAT.NA_U.nest_NA
4	Waveform 1	1	7.162890026	7.642054196	0.000	22050.000	SAT.NA_U.nest_NA
4	Spectrogram 1	1	7.162890026	7.642054196	0.000	22050.000	SAT.NA_U.nest_NA
5	Waveform 1	1	10.252884608	10.940915211	0.000	22050.000	SAT.NA_U.nest_NA
5	Spectrogram 1	1	10.252884608	10.940915211	0.000	22050.000	SAT.NA_U.nest_NA
6	Waveform 1	1	10.971630863	11.168211035	0.000	22050.000	SAT.NA_U.nest_NA
6	Spectrogram 1	1	10.971630863	11.168211035	0.000	22050.000	SAT.NA_U.nest_NA
7	Waveform 1	1	11.192783557	11.426222511	0.000	22050.000	SAT.NA_U.nest_NA
7	Spectrogram 1	1	11.192783557	11.426222511	0.000	22050.000	SAT.NA_U.nest_NA
8	Waveform 1	1	11.493796946	11.659661466	0.000	22050.000	SAT.NA_U.nest_NA
8	Spectrogram 1	1	11.493796946	11.659661466	0.000	22050.000	SAT.NA_U.nest_NA
9	Waveform 1	1	11.714949639	11.966817985	0.000	22050.000	SAT.NA_U.nest_NA
9	Spectrogram 1	1	11.714949639	11.966817985	0.000	22050.000	SAT.NA_U.nest_NA
10	Waveform 1	1	12.009819898	12.212543200	0.000	22050.000	SAT.NA_U.nest_NA
10	Spectrogram 1	1	12.009819898	12.212543200	0.000	22050.000	SAT.NA_U.nest_NA
11	Waveform 1	1	12.243258852	12.556558502	0.000	22050.000	SAT.NA_U.nest_NA
11	Spectrogram 1	1	12.243258852	12.556558502	0.000	22050.000	SAT.NA_U.nest_NA
12	Waveform 1	1	12.587274154	12.937432585	0.000	22050.000	SAT.NA_U.nest_NA
12	Spectrogram 1	1	12.587274154	12.937432585	0.000	22050.000	SAT.NA_U.nest_NA
13	Waveform 1	1	12.974291368	13.306020408	0.000	22050.000	SAT.NA_U.nest_NA
13	Spectrogram 1	1	12.974291368	13.306020408	0.000	22050.000	SAT.NA_U.nest_NA
14	Waveform 1	1	13.404310495	14.153772401	0.000	22050.000	SAT.NA_U.nest_NA
14	Spectrogram 1	1	13.404310495	14.153772401	0.000	22050.000	SAT.NA_U.nest_NA
15	Waveform 1	1	14.860232395	15.462259173	0.000	22050.000	SAT.NA_U.nest_NA
15	Spectrogram 1	1	14.860232395	15.462259173	0.000	22050.000	SAT.NA_U.nest_NA
16	Waveform 1	1	20.481196695	21.138511646	0.000	22050.000	SAT.NA_U.nest_NA
16	Spectrogram 1	1	20.481196695	21.138511646	0.000	22050.000	SAT.NA_U.nest_NA
17	Waveform 1	1	22.305706419	23.214889715	0.000	22050.000	SAT.NA_U.nest_NA
17	Spectrogram 1	1	22.305706419	23.214889715	0.000	22050.000	SAT.NA_U.nest_NA
18	Waveform 1	1	24.369798227	25.088544482	0.000	22050.000	SAT.NA_U.nest_NA
18	Spectrogram 1	1	24.369798227	25.088544482	0.000	22050.000	SAT.NA_U.nest_NA
19	Waveform 1	1	29.726607921	30.617361826	0.000	22050.000	SAT.NA_U.nest_NA
19	Spectrogram 1	1	29.726607921	30.617361826	0.000	22050.000	SAT.NA_U.nest_NA
20	Waveform 1	1	34.106659883	34.911409964	0.000	22050.000	SAT.NA_U.nest_NA
20	Spectrogram 1	1	34.106659883	34.911409964	0.000	22050.000	SAT.NA_U.nest_NA
21	Waveform 1	1	58.697610804	59.299637582	0.000	22050.000	SAT.NA_U.leaving.nest_02
21	Spectrogram 1	1	58.697610804	59.299637582	0.000	22050.000	SAT.NA_U.leaving.nest_02
22	Waveform 1	1	62.573926076	63.108378419	0.000	22050.000	SAT.NA_leaving.nest_02
22	Spectrogram 1	1	62.573926076	63.108378419	0.000	22050.000	SAT.NA_leaving.nest_02
23	Waveform 1	1	63.200525375	63.790265891	0.000	22050.000	SAT.NA_leaving.nest_02
23	Spectrogram 1	1	63.200525375	63.790265891	0.000	22050.000	SAT.NA_leaving.nest_02
