Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	25.821159506	26.166964101	0.000	22050.000	
1	Spectrogram 1	1	25.821159506	26.166964101	0.000	22050.000	
2	Waveform 1	1	29.973132510	30.457258942	0.000	22050.000	
2	Spectrogram 1	1	29.973132510	30.457258942	0.000	22050.000	
3	Waveform 1	1	41.080208299	41.340891763	0.000	22050.000	
3	Spectrogram 1	1	41.080208299	41.340891763	0.000	22050.000	
4	Waveform 1	1	75.590813635	76.027059432	0.000	22050.000	
4	Spectrogram 1	1	75.590813635	76.027059432	0.000	22050.000	
5	Waveform 1	1	117.946474371	118.207157835	0.000	22050.000	sqs.01_perched_NA
5	Spectrogram 1	1	117.946474371	118.207157835	0.000	22050.000	sqs.01_perched_NA
6	Waveform 1	1	171.697859045	171.974502721	0.000	22050.000	NA_flight_03
6	Spectrogram 1	1	171.697859045	171.974502721	0.000	22050.000	NA_flight_03
7	Waveform 1	1	188.665740930	189.197747999	0.000	22050.000	
7	Spectrogram 1	1	188.665740930	189.197747999	0.000	22050.000	
8	Waveform 1	1	191.783302354	192.043985818	0.000	22050.000	NA_flight_02
8	Spectrogram 1	1	191.783302354	192.043985818	0.000	22050.000	NA_flight_02
9	Waveform 1	1	199.088165319	199.354168854	0.000	22050.000	sqs.01_perched_NA
9	Spectrogram 1	1	199.088165319	199.354168854	0.000	22050.000	sqs.01_perched_NA
10	Waveform 1	1	216.538946368	216.788989691	0.000	22050.000	sqs.01_perched_NA
10	Spectrogram 1	1	216.538946368	216.788989691	0.000	22050.000	sqs.01_perched_NA
11	Waveform 1	1	221.992835490	222.210958388	0.000	22050.000	sqs.01_perched_NA
11	Spectrogram 1	1	221.992835490	222.210958388	0.000	22050.000	sqs.01_perched_NA
12	Waveform 1	1	227.370879486	227.604962596	0.000	22050.000	sqs.01_perched_NA
12	Spectrogram 1	1	227.370879486	227.604962596	0.000	22050.000	sqs.01_perched_NA
15	Waveform 1	1	233.347431140	233.533633614	0.000	22050.000	sqs.01_perched_NA
15	Spectrogram 1	1	233.347431140	233.533633614	0.000	22050.000	sqs.01_perched_NA
16	Waveform 1	1	229.804264061	230.139428514	0.000	22050.000	
16	Spectrogram 1	1	229.804264061	230.139428514	0.000	22050.000	
17	Waveform 1	1	259.246890506	259.608655313	0.000	22050.000	sqs.01_perched_NA
17	Spectrogram 1	1	259.246890506	259.608655313	0.000	22050.000	sqs.01_perched_NA
18	Waveform 1	1	275.583048311	275.896932482	0.000	22050.000	sqs.01_perched_NA
18	Spectrogram 1	1	275.583048311	275.896932482	0.000	22050.000	sqs.01_perched_NA
19	Waveform 1	1	278.886812210	279.120895320	0.000	22050.000	sqs.01_perched_NA
19	Spectrogram 1	1	278.886812210	279.120895320	0.000	22050.000	sqs.01_perched_NA
20	Waveform 1	1	281.241965457	281.507968991	0.000	22050.000	sqs.01_perched_NA
20	Spectrogram 1	1	281.241965457	281.507968991	0.000	22050.000	sqs.01_perched_NA
21	Waveform 1	1	284.630439882	284.912403629	0.000	22050.000	sqs.01_perched_NA
21	Spectrogram 1	1	284.630439882	284.912403629	0.000	22050.000	sqs.01_perched_NA
22	Waveform 1	1	408.566043549	408.858647437	0.000	22050.000	NA_flight_01
22	Spectrogram 1	1	408.566043549	408.858647437	0.000	22050.000	NA_flight_01
