Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	7.062775081	7.408966145	0.0	22050.0	0.346	22050.0		
1	Spectrogram 1	1	7.062775081	7.408966145	0.0	22050.0	0.346	22050.0	-47.7	
2	Waveform 1	1	11.518552763	11.968763677	0.0	22050.0	0.450	22050.0		
2	Spectrogram 1	1	11.518552763	11.968763677	0.0	22050.0	0.450	22050.0	-43.2	
3	Waveform 1	1	13.031062350	13.700690135	0.0	22050.0	0.670	22050.0		
3	Spectrogram 1	1	13.031062350	13.700690135	0.0	22050.0	0.670	22050.0	-46.1	
4	Waveform 1	1	16.194475559	16.594301858	0.0	22050.0	0.400	22050.0		
4	Spectrogram 1	1	16.194475559	16.594301858	0.0	22050.0	0.400	22050.0	-45.0	
5	Waveform 1	1	62.918379898	63.116667737	0.0	22050.0	0.198	22050.0		
5	Spectrogram 1	1	62.918379898	63.116667737	0.0	22050.0	0.198	22050.0	-46.5	
6	Waveform 1	1	63.178429523	63.477486592	0.0	22050.0	0.299	22050.0		
6	Spectrogram 1	1	63.178429523	63.477486592	0.0	22050.0	0.299	22050.0	-46.9	
7	Waveform 1	1	108.849450314	109.278532196	0.0	22050.0	0.429	22050.0		
7	Spectrogram 1	1	108.849450314	109.278532196	0.0	22050.0	0.429	22050.0	-48.9	
8	Waveform 1	1	201.611939060	201.845983723	0.0	22050.0	0.234	22050.0		
8	Spectrogram 1	1	201.611939060	201.845983723	0.0	22050.0	0.234	22050.0	-47.8	
9	Waveform 1	1	249.971708539	250.264264367	0.0	22050.0	0.293	22050.0		
9	Spectrogram 1	1	249.971708539	250.264264367	0.0	22050.0	0.293	22050.0	-52.4	
10	Waveform 1	1	299.543548074	299.819850801	0.0	22050.0	0.276	22050.0		
10	Spectrogram 1	1	299.543548074	299.819850801	0.0	22050.0	0.276	22050.0	-45.8	
11	Waveform 1	1	300.105905389	300.365955015	0.0	22050.0	0.260	22050.0		
