Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	10.908888187	11.384554155	0.0	22050.0	0.476	22050.0		
1	Spectrogram 1	1	10.908888187	11.384554155	0.0	22050.0	0.476	22050.0	-48.2	
2	Waveform 1	1	50.658773430	51.122977567	0.0	22050.0	0.464	22050.0		
2	Spectrogram 1	1	50.658773430	51.122977567	0.0	22050.0	0.464	22050.0	-49.3	
3	Waveform 1	1	159.646815167	160.111019304	0.0	22050.0	0.464	22050.0		
3	Spectrogram 1	1	159.646815167	160.111019304	0.0	22050.0	0.464	22050.0	-50.8	
4	Waveform 1	1	162.557052752	163.032718720	0.0	22050.0	0.476	22050.0		
4	Spectrogram 1	1	162.557052752	163.032718720	0.0	22050.0	0.476	22050.0	-50.6	
5	Waveform 1	1	167.994410725	168.521654930	0.0	22050.0	0.527	22050.0		
5	Spectrogram 1	1	167.994410725	168.521654930	0.0	22050.0	0.527	22050.0	-50.6	
8	Waveform 1	1	227.143413167	227.424228015	0.0	22050.0	0.281	22050.0		
8	Spectrogram 1	1	227.143413167	227.424228015	0.0	22050.0	0.281	22050.0	-39.4	
9	Waveform 1	1	228.570411070	228.902804156	0.0	22050.0	0.332	22050.0		
9	Spectrogram 1	1	228.570411070	228.902804156	0.0	22050.0	0.332	22050.0	-44.9	
