Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	2.473615290	3.244502247	0.000	22050.000	SAT.U01_perched_NA
1	Spectrogram 1	1	2.473615290	3.244502247	0.000	22050.000	SAT.U01_perched_NA
2	Waveform 1	1	7.048109320	7.530972578	0.000	22050.000	SAT.U01_perched_NA
2	Spectrogram 1	1	7.048109320	7.530972578	0.000	22050.000	SAT.U01_perched_NA
3	Waveform 1	1	12.927181276	13.503228673	0.000	22050.000	SAT.U01_perched_NA
3	Spectrogram 1	1	12.927181276	13.503228673	0.000	22050.000	SAT.U01_perched_NA
4	Waveform 1	1	19.670324327	20.534395422	0.000	22050.000	SAT.U01_perched_NA
4	Spectrogram 1	1	19.670324327	20.534395422	0.000	22050.000	SAT.U01_perched_NA
5	Waveform 1	1	31.089616831	31.648721657	0.000	22050.000	SAT.U01_perched_NA
5	Spectrogram 1	1	31.089616831	31.648721657	0.000	22050.000	SAT.U01_perched_NA
6	Waveform 1	1	73.810308297	74.504953687	0.000	22050.000	
6	Spectrogram 1	1	73.810308297	74.504953687	0.000	22050.000	
7	Waveform 1	1	82.112167832	82.611973661	0.000	22050.000	
7	Spectrogram 1	1	82.112167832	82.611973661	0.000	22050.000	
8	Waveform 1	1	108.483278785	109.220280600	0.000	22050.000	
8	Spectrogram 1	1	108.483278785	109.220280600	0.000	22050.000	
9	Waveform 1	1	110.973836645	111.634596894	0.000	22050.000	
9	Spectrogram 1	1	110.973836645	111.634596894	0.000	22050.000	
10	Waveform 1	1	118.513280509	119.013086338	0.000	22050.000	SAT.NA_U.take.off_NA
10	Spectrogram 1	1	118.513280509	119.013086338	0.000	22050.000	SAT.NA_U.take.off_NA
11	Waveform 1	1	119.368880318	119.783973295	0.000	22050.000	SAT.NA_U.take.off_NA
11	Spectrogram 1	1	119.368880318	119.783973295	0.000	22050.000	SAT.NA_U.take.off_NA
12	Waveform 1	1	119.851743577	120.165181131	0.000	22050.000	SAT.NA_U.take.off_NA
12	Spectrogram 1	1	119.851743577	120.165181131	0.000	22050.000	SAT.NA_U.take.off_NA
13	Waveform 1	1	120.199066272	120.554860252	0.000	22050.000	SAT.NA_U.take.off_NA
13	Spectrogram 1	1	120.199066272	120.554860252	0.000	22050.000	SAT.NA_U.take.off_NA
14	Waveform 1	1	121.088551222	121.673069903	0.000	22050.000	SAT.NA_U.take.off_NA
14	Spectrogram 1	1	121.088551222	121.673069903	0.000	22050.000	SAT.NA_U.take.off_NA
