Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	127.873855038	128.334748441	0.0	22050.0	0.461	22050.0		
1	Spectrogram 1	1	127.873855038	128.334748441	0.0	22050.0	0.461	22050.0	-44.5	
2	Waveform 1	1	140.057279849	140.463490984	0.0	22050.0	0.406	22050.0		
2	Spectrogram 1	1	140.057279849	140.463490984	0.0	22050.0	0.406	22050.0	-47.9	
3	Waveform 1	1	143.524534046	143.852627655	0.0	22050.0	0.328	22050.0		
3	Spectrogram 1	1	143.524534046	143.852627655	0.0	22050.0	0.328	22050.0	-46.6	
4	Waveform 1	1	333.530074231	334.014402892	0.0	22050.0	0.484	22050.0		
4	Spectrogram 1	1	333.530074231	334.014402892	0.0	22050.0	0.484	22050.0	-42.5	
5	Waveform 1	1	348.515300090	348.952758235	0.0	22050.0	0.437	22050.0		
5	Spectrogram 1	1	348.515300090	348.952758235	0.0	22050.0	0.437	22050.0	-45.2	
6	Waveform 1	1	357.223367854	357.863931566	0.0	22050.0	0.641	22050.0		
6	Spectrogram 1	1	357.223367854	357.863931566	0.0	22050.0	0.641	22050.0	-45.4	
7	Waveform 1	1	401.987533264	402.409367904	0.0	22050.0	0.422	22050.0		
7	Spectrogram 1	1	401.987533264	402.409367904	0.0	22050.0	0.422	22050.0	-52.5	
8	Waveform 1	1	438.044503765	438.646008715	0.0	22050.0	0.602	22050.0		
8	Spectrogram 1	1	438.044503765	438.646008715	0.0	22050.0	0.602	22050.0	-49.9	
9	Waveform 1	1	450.078632421	450.469220051	0.0	22050.0	0.391	22050.0		
9	Spectrogram 1	1	450.078632421	450.469220051	0.0	22050.0	0.391	22050.0	-50.7	
10	Waveform 1	1	450.523902319	450.891054691	0.0	22050.0	0.367	22050.0		
10	Spectrogram 1	1	450.523902319	450.891054691	0.0	22050.0	0.367	22050.0	-49.6	
11	Waveform 1	1	474.881485574	475.334567224	0.0	22050.0	0.453	22050.0		
11	Spectrogram 1	1	474.881485574	475.334567224	0.0	22050.0	0.453	22050.0	-51.3	
12	Waveform 1	1	479.170137745	479.607595890	0.0	22050.0	0.437	22050.0		
12	Spectrogram 1	1	479.170137745	479.607595890	0.0	22050.0	0.437	22050.0	-52.3	
13	Waveform 1	1	524.425861809	524.808637686	0.0	22050.0	0.383	22050.0		
13	Spectrogram 1	1	524.425861809	524.808637686	0.0	22050.0	0.383	22050.0	-49.2	
14	Waveform 1	1	525.019555006	525.394519130	0.0	22050.0	0.375	22050.0		
14	Spectrogram 1	1	525.019555006	525.394519130	0.0	22050.0	0.375	22050.0	-50.7	
15	Waveform 1	1	530.243290019	530.587007133	0.0	22050.0	0.344	22050.0		
15	Spectrogram 1	1	530.243290019	530.587007133	0.0	22050.0	0.344	22050.0	-49.8	
16	Waveform 1	1	539.177316414	539.606962807	0.0	22050.0	0.430	22050.0		
16	Spectrogram 1	1	539.177316414	539.606962807	0.0	22050.0	0.430	22050.0	-50.0	
17	Waveform 1	1	540.310020540	540.653737653	0.0	22050.0	0.344	22050.0		
17	Spectrogram 1	1	540.310020540	540.653737653	0.0	22050.0	0.344	22050.0	-51.6	
18	Waveform 1	1	542.583240543	543.122251472	0.0	22050.0	0.539	22050.0		
18	Spectrogram 1	1	542.583240543	543.122251472	0.0	22050.0	0.539	22050.0	-51.2	
19	Waveform 1	1	544.096974834	544.596927000	0.0	22050.0	0.500	22050.0		
19	Spectrogram 1	1	544.096974834	544.596927000	0.0	22050.0	0.500	22050.0	-50.1	
20	Waveform 1	1	554.226781569	554.617369199	0.0	22050.0	0.391	22050.0		
20	Spectrogram 1	1	554.226781569	554.617369199	0.0	22050.0	0.391	22050.0	-49.1	
21	Waveform 1	1	570.696822179	571.048351045	0.0	22050.0	0.352	22050.0		
21	Spectrogram 1	1	570.696822179	571.048351045	0.0	22050.0	0.352	22050.0	-50.9	
22	Waveform 1	1	571.048351045	571.384256407	0.0	22050.0	0.336	22050.0		
22	Spectrogram 1	1	571.048351045	571.384256407	0.0	22050.0	0.336	22050.0	-47.2	
23	Waveform 1	1	578.474709191	578.919979089	0.0	22050.0	0.445	22050.0		
23	Spectrogram 1	1	578.474709191	578.919979089	0.0	22050.0	0.445	22050.0	-51.8	
24	Waveform 1	1	580.701058679	581.201010845	0.0	22050.0	0.500	22050.0		
24	Spectrogram 1	1	580.701058679	581.201010845	0.0	22050.0	0.500	22050.0	-48.6	
25	Waveform 1	1	607.471601063	607.846565187	0.0	22050.0	0.375	22050.0		
25	Spectrogram 1	1	607.471601063	607.846565187	0.0	22050.0	0.375	22050.0	-50.1	
26	Waveform 1	1	670.017599759	670.501928419	0.0	22050.0	0.484	22050.0		
26	Spectrogram 1	1	670.017599759	670.501928419	0.0	22050.0	0.484	22050.0	-46.9	
27	Waveform 1	1	670.517551924	670.712845739	0.0	22050.0	0.195	22050.0		
