Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	2.168617113	2.862465750	0.000	22050.000	
1	Spectrogram 1	1	2.168617113	2.862465750	0.000	22050.000	
2	Waveform 1	1	2.334596591	2.609415071	0.000	22050.000	
2	Spectrogram 1	1	2.334596591	2.609415071	0.000	22050.000	
3	Waveform 1	1	4.699123908	5.012036038	0.000	22050.000	
3	Spectrogram 1	1	4.699123908	5.012036038	0.000	22050.000	
4	Waveform 1	1	7.422819931	7.689475485	0.000	22050.000	
4	Spectrogram 1	1	7.422819931	7.689475485	0.000	22050.000	
5	Waveform 1	1	9.327502464	9.640414595	0.000	22050.000	
5	Spectrogram 1	1	9.327502464	9.640414595	0.000	22050.000	
6	Waveform 1	1	11.958685335	12.181805289	0.000	22050.000	
6	Spectrogram 1	1	11.958685335	12.181805289	0.000	22050.000	
7	Waveform 1	1	13.664906254	13.974941093	0.000	22050.000	
7	Spectrogram 1	1	13.664906254	13.974941093	0.000	22050.000	
8	Waveform 1	1	20.897636802	21.313847955	0.000	22050.000	
8	Spectrogram 1	1	20.897636802	21.313847955	0.000	22050.000	
9	Waveform 1	1	26.520734420	26.873239784	0.000	22050.000	
9	Spectrogram 1	1	26.520734420	26.873239784	0.000	22050.000	
11	Waveform 1	1	30.699834161	31.039598367	0.000	22050.000	
11	Spectrogram 1	1	30.699834161	31.039598367	0.000	22050.000	
12	Waveform 1	1	49.548253520	49.905005937	0.000	22050.000	
12	Spectrogram 1	1	49.548253520	49.905005937	0.000	22050.000	
13	Waveform 1	1	53.833529575	54.147811466	0.000	22050.000	
13	Spectrogram 1	1	53.833529575	54.147811466	0.000	22050.000	
14	Waveform 1	1	59.465121299	59.732685611	0.000	22050.000	
14	Spectrogram 1	1	59.465121299	59.732685611	0.000	22050.000	
15	Waveform 1	1	62.433811053	62.739598839	0.000	22050.000	
15	Spectrogram 1	1	62.433811053	62.739598839	0.000	22050.000	
16	Waveform 1	1	67.356144996	67.653438677	0.000	22050.000	
16	Spectrogram 1	1	67.356144996	67.653438677	0.000	22050.000	
17	Waveform 1	1	90.455083213	90.863229470	0.000	22050.000	SAT.03_perched_NA
17	Spectrogram 1	1	90.455083213	90.863229470	0.000	22050.000	SAT.03_perched_NA
18	Waveform 1	1	95.618122899	95.993617456	0.000	22050.000	SAT.03_perched_NA
18	Spectrogram 1	1	95.618122899	95.993617456	0.000	22050.000	SAT.03_perched_NA
19	Waveform 1	1	97.756858729	98.192214737	0.000	22050.000	
19	Spectrogram 1	1	97.756858729	98.192214737	0.000	22050.000	
20	Waveform 1	1	100.276481624	100.651976180	0.000	22050.000	
20	Spectrogram 1	1	100.276481624	100.651976180	0.000	22050.000	
