Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	56.177341296	56.645921876	0.0	22050.0	
1	Spectrogram 1	1	56.177341296	56.645921876	0.0	22050.0	
2	Waveform 1	1	59.952018195	60.368534266	0.0	22050.0	SAT.01_take.off_NA
2	Spectrogram 1	1	59.952018195	60.368534266	0.0	22050.0	SAT.01_take.off_NA
3	Waveform 1	1	66.733420485	67.162952684	0.0	22050.0	
3	Spectrogram 1	1	66.733420485	67.162952684	0.0	22050.0	
4	Waveform 1	1	79.280691376	79.567873472	0.0	22050.0	SAT.NA_take.off_NA
4	Spectrogram 1	1	79.280691376	79.567873472	0.0	22050.0	SAT.NA_take.off_NA
5	Waveform 1	1	79.628927933	79.918371305	0.0	22050.0	SAT.NA_take.off_NA
5	Spectrogram 1	1	79.628927933	79.918371305	0.0	22050.0	SAT.NA_take.off_NA
6	Waveform 1	1	79.965858108	80.268869138	0.0	22050.0	SAT.NA_take.off_NA
6	Spectrogram 1	1	79.965858108	80.268869138	0.0	22050.0	SAT.NA_take.off_NA
7	Waveform 1	1	81.051270752	81.352020506	0.0	22050.0	SAT.NA_take.off_NA
7	Spectrogram 1	1	81.051270752	81.352020506	0.0	22050.0	SAT.NA_take.off_NA
8	Waveform 1	1	85.132874550	85.438146856	0.0	22050.0	
8	Spectrogram 1	1	85.132874550	85.438146856	0.0	22050.0	
9	Waveform 1	1	61.694492902	62.059454139	0.0	22050.0	SAT.01_take.off_NA
9	Spectrogram 1	1	61.694492902	62.059454139	0.0	22050.0	SAT.01_take.off_NA
