Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.140516381	0.345594344	0.000	22050.000	
1	Spectrogram 1	1	0.140516381	0.345594344	0.000	22050.000	
2	Waveform 1	1	0.387369484	0.613335016	0.000	22050.000	
2	Spectrogram 1	1	0.387369484	0.613335016	0.000	22050.000	
3	Waveform 1	1	0.668402247	0.903862129	0.000	22050.000	
3	Spectrogram 1	1	0.668402247	0.903862129	0.000	22050.000	
4	Waveform 1	1	8.501241077	8.712015650	0.000	22050.000	
4	Spectrogram 1	1	8.501241077	8.712015650	0.000	22050.000	
5	Waveform 1	1	9.179137674	9.452574957	0.000	22050.000	
5	Spectrogram 1	1	9.179137674	9.452574957	0.000	22050.000	
6	Waveform 1	1	9.769686250	10.020337093	0.000	22050.000	
6	Spectrogram 1	1	9.769686250	10.020337093	0.000	22050.000	
7	Waveform 1	1	10.662155160	11.129277184	0.000	22050.000	
7	Spectrogram 1	1	10.662155160	11.129277184	0.000	22050.000	
8	Waveform 1	1	11.529938759	11.860342142	0.000	22050.000	
8	Spectrogram 1	1	11.529938759	11.860342142	0.000	22050.000	
9	Waveform 1	1	17.678479882	17.957613775	0.000	22050.000	
9	Spectrogram 1	1	17.678479882	17.957613775	0.000	22050.000	
10	Waveform 1	1	18.314601338	18.582342011	0.000	22050.000	
10	Spectrogram 1	1	18.314601338	18.582342011	0.000	22050.000	
11	Waveform 1	1	21.544579241	21.861690535	0.000	22050.000	
11	Spectrogram 1	1	21.544579241	21.861690535	0.000	22050.000	
12	Waveform 1	1	22.148419908	22.433250411	0.000	22050.000	
12	Spectrogram 1	1	22.148419908	22.433250411	0.000	22050.000	
13	Waveform 1	1	22.564272442	23.025697857	0.000	22050.000	
13	Spectrogram 1	1	22.564272442	23.025697857	0.000	22050.000	
14	Waveform 1	1	29.392609032	29.597686994	0.000	22050.000	
14	Spectrogram 1	1	29.392609032	29.597686994	0.000	22050.000	
15	Waveform 1	1	30.211022011	30.399010142	0.000	22050.000	
15	Spectrogram 1	1	30.211022011	30.399010142	0.000	22050.000	
16	Waveform 1	1	31.842151357	32.140273950	0.000	22050.000	
16	Spectrogram 1	1	31.842151357	32.140273950	0.000	22050.000	
17	Waveform 1	1	32.178251351	32.480171684	0.000	22050.000	
17	Spectrogram 1	1	32.178251351	32.480171684	0.000	22050.000	
18	Waveform 1	1	33.461887484	33.647976746	0.000	22050.000	
18	Spectrogram 1	1	33.461887484	33.647976746	0.000	22050.000	
19	Waveform 1	1	34.529052435	34.720838307	0.000	22050.000	
19	Spectrogram 1	1	34.529052435	34.720838307	0.000	22050.000	
20	Waveform 1	1	34.751220227	34.977185759	0.000	22050.000	
20	Spectrogram 1	1	34.751220227	34.977185759	0.000	22050.000	
21	Waveform 1	1	35.083522481	35.355060893	0.000	22050.000	
21	Spectrogram 1	1	35.083522481	35.355060893	0.000	22050.000	
22	Waveform 1	1	35.383543944	35.588621906	0.000	22050.000	
22	Spectrogram 1	1	35.383543944	35.588621906	0.000	22050.000	
23	Waveform 1	1	36.817190808	37.020369900	0.000	22050.000	
23	Spectrogram 1	1	36.817190808	37.020369900	0.000	22050.000	
24	Waveform 1	1	37.675480057	37.874861409	0.000	22050.000	
24	Spectrogram 1	1	37.675480057	37.874861409	0.000	22050.000	
25	Waveform 1	1	38.710364218	38.961015060	0.000	22050.000	
25	Spectrogram 1	1	38.710364218	38.961015060	0.000	22050.000	
26	Waveform 1	1	41.769443819	42.014398052	0.000	22050.000	
26	Spectrogram 1	1	41.769443819	42.014398052	0.000	22050.000	
27	Waveform 1	1	42.806226850	43.056877693	0.000	22050.000	
27	Spectrogram 1	1	42.806226850	43.056877693	0.000	22050.000	
28	Waveform 1	1	43.070169783	43.290438705	0.000	22050.000	
28	Spectrogram 1	1	43.070169783	43.290438705	0.000	22050.000	
29	Waveform 1	1	43.305629665	43.520201977	0.000	22050.000	
29	Spectrogram 1	1	43.305629665	43.520201977	0.000	22050.000	
30	Waveform 1	1	45.253870305	45.498824538	0.000	22050.000	
30	Spectrogram 1	1	45.253870305	45.498824538	0.000	22050.000	
31	Waveform 1	1	45.519712108	45.703902500	0.000	22050.000	
31	Spectrogram 1	1	45.519712108	45.703902500	0.000	22050.000	
32	Waveform 1	1	46.417877627	46.670427340	0.000	22050.000	
32	Spectrogram 1	1	46.417877627	46.670427340	0.000	22050.000	
33	Waveform 1	1	49.467462878	49.664945360	0.000	22050.000	
33	Spectrogram 1	1	49.467462878	49.664945360	0.000	22050.000	
34	Waveform 1	1	50.223213146	50.462470769	0.000	22050.000	
34	Spectrogram 1	1	50.223213146	50.462470769	0.000	22050.000	
35	Waveform 1	1	52.234116497	52.460082029	0.000	22050.000	
35	Spectrogram 1	1	52.234116497	52.460082029	0.000	22050.000	
36	Waveform 1	1	55.606509652	55.891340154	0.000	22050.000	
36	Spectrogram 1	1	55.606509652	55.891340154	0.000	22050.000	
37	Waveform 1	1	56.083126026	56.449607940	0.000	22050.000	
37	Spectrogram 1	1	56.083126026	56.449607940	0.000	22050.000	
38	Waveform 1	1	57.930726555	58.221253668	0.000	22050.000	
38	Spectrogram 1	1	57.930726555	58.221253668	0.000	22050.000	
39	Waveform 1	1	59.765374516	60.038573783	0.000	22050.000	
39	Spectrogram 1	1	59.765374516	60.038573783	0.000	22050.000	
