Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	119.661417517	120.037424766	0.0	22050.0	0.376	22050.0		
1	Spectrogram 1	1	119.661417517	120.037424766	0.0	22050.0	0.376	22050.0	-48.0	
2	Waveform 1	1	121.881892760	122.130870533	0.0	22050.0	0.249	22050.0		
2	Spectrogram 1	1	121.881892760	122.130870533	0.0	22050.0	0.249	22050.0	-49.1	
3	Waveform 1	1	396.612041385	396.916912128	0.0	22050.0	0.305	22050.0		
3	Spectrogram 1	1	396.612041385	396.916912128	0.0	22050.0	0.305	22050.0	-48.8	
4	Waveform 1	1	442.111730201	442.381032691	0.0	22050.0	0.269	22050.0		
4	Spectrogram 1	1	442.111730201	442.381032691	0.0	22050.0	0.269	22050.0	-48.0	
5	Waveform 1	1	442.381032691	442.665578717	0.0	22050.0	0.285	22050.0		
5	Spectrogram 1	1	442.381032691	442.665578717	0.0	22050.0	0.285	22050.0	-48.5	
6	Waveform 1	1	675.529541032	675.900467103	0.0	22050.0	0.371	22050.0		
6	Spectrogram 1	1	675.529541032	675.900467103	0.0	22050.0	0.371	22050.0	-48.9	
7	Waveform 1	1	700.643525145	700.917908813	0.0	22050.0	0.274	22050.0		
7	Spectrogram 1	1	700.643525145	700.917908813	0.0	22050.0	0.274	22050.0	-46.9	
8	Waveform 1	1	779.525209703	779.824999267	0.0	22050.0	0.300	22050.0		
8	Spectrogram 1	1	779.525209703	779.824999267	0.0	22050.0	0.300	22050.0	-50.0	
9	Waveform 1	1	784.626713466	784.992558358	0.0	22050.0	0.366	22050.0		
9	Spectrogram 1	1	784.626713466	784.992558358	0.0	22050.0	0.366	22050.0	-48.3	
10	Waveform 1	1	790.213017085	790.507725470	0.0	22050.0	0.295	22050.0		
10	Spectrogram 1	1	790.213017085	790.507725470	0.0	22050.0	0.295	22050.0	-48.3	
